Crank_Angle_(deg)	MFB_(%)
-2.670000	0.000000
5.797906	0.001001
6.155112	0.002002
6.333261	0.003003
6.453598	0.004004
6.558549	0.005005
6.649447	0.006006
6.729283	0.007007
6.802550	0.008008
6.869270	0.009009
6.927408	0.010010
6.980189	0.011011
7.028902	0.012012
7.074508	0.013013
7.118201	0.014014
7.157873	0.015015
7.196609	0.016016
7.230823	0.017017
7.264370	0.018018
7.297056	0.019019
7.327819	0.020020
7.356253	0.021021
7.380799	0.022022
7.403840	0.023023
7.425936	0.024024
7.447764	0.025025
7.465105	0.026026
7.482434	0.027027
7.499762	0.028028
7.516389	0.029029
7.532935	0.030030
7.548834	0.031031
7.564209	0.032032
7.579584	0.033033
7.594908	0.034034
7.609750	0.035035
7.624591	0.036036
7.638991	0.037037
7.652518	0.038038
7.665400	0.039039
7.677864	0.040040
7.690251	0.041041
7.702022	0.042042
7.713793	0.043043
7.725563	0.044044
7.736072	0.045045
7.746507	0.046046
7.756943	0.047047
7.767378	0.048048
7.777727	0.049049
7.787845	0.050050
7.797964	0.051051
7.808083	0.052052
7.818202	0.053053
7.827847	0.054054
7.837371	0.055055
7.846894	0.056056
7.856417	0.057057
7.865903	0.058058
7.875223	0.059059
7.884543	0.060060
7.893863	0.061061
7.903183	0.062062
7.912503	0.063063
7.921504	0.064064
7.930254	0.065065
7.939004	0.066066
7.947754	0.067067
7.956111	0.068068
7.964281	0.069069
7.972395	0.070070
7.980440	0.071071
7.988485	0.072072
7.996529	0.073073
8.004574	0.074074
8.012614	0.075075
8.020229	0.076076
8.027844	0.077077
8.035460	0.078078
8.043075	0.079079
8.050579	0.080080
8.058062	0.081081
8.065545	0.082082
8.073028	0.083083
8.080511	0.084084
8.087994	0.085085
8.095477	0.086086
8.102960	0.087087
8.110365	0.088088
8.117510	0.089089
8.124654	0.090090
8.131799	0.091091
8.138877	0.092092
8.145910	0.093093
8.152944	0.094094
8.159978	0.095095
8.167011	0.096096
8.174045	0.097097
8.181079	0.098098
8.188112	0.099099
8.195146	0.100100
8.202180	0.101101
8.209132	0.102102
8.215870	0.103103
8.222398	0.104104
8.228677	0.105105
8.234793	0.106106
8.240909	0.107107
8.247025	0.108108
8.253141	0.109109
8.259257	0.110110
8.265373	0.111111
8.271489	0.112112
8.277605	0.113113
8.283721	0.114114
8.289837	0.115115
8.295953	0.116116
8.302060	0.117117
8.308085	0.118118
8.314085	0.119119
