Crank_Angle_(deg)	MFB_(%)
-10.000000	0.000000
-6.794488	0.001001
-5.748417	0.002002
-5.095906	0.003003
-4.621513	0.004004
-4.243976	0.005005
-3.931979	0.006006
-3.670265	0.007007
-3.443083	0.008008
-3.241468	0.009009
-3.061851	0.010010
-2.898352	0.011011
-2.747850	0.012012
-2.608640	0.013013
-2.478047	0.014014
-2.356608	0.015015
-2.241778	0.016016
-2.133404	0.017017
-2.034282	0.018018
-1.938484	0.019019
-1.846740	0.020020
-1.760468	0.021021
-1.677612	0.022022
-1.596980	0.023023
-1.518989	0.024024
-1.443899	0.025025
-1.370857	0.026026
-1.299085	0.027027
-1.229535	0.028028
-1.162848	0.029029
-1.097562	0.030030
-1.034869	0.031031
-0.972805	0.032032
-0.912703	0.033033
-0.853541	0.034034
-0.799187	0.035035
-0.744379	0.036036
-0.686995	0.037037
-0.630284	0.038038
-0.575715	0.039039
-0.521633	0.040040
-0.469412	0.041041
-0.418256	0.042042
-0.371362	0.043043
-0.324469	0.044044
-0.278913	0.045045
-0.233835	0.046046
-0.188547	0.047047
-0.142682	0.048048
-0.097013	0.049049
-0.052001	0.050050
-0.007014	0.051051
0.037070	0.052052
0.079890	0.053053
0.122711	0.054054
0.163566	0.055055
0.204070	0.056056
0.244376	0.057057
0.283048	0.058058
0.321349	0.059059
0.360136	0.060060
0.400460	0.061061
0.440785	0.062062
0.479181	0.063063
0.515845	0.064064
0.552508	0.065065
0.588908	0.066066
0.625053	0.067067
0.661152	0.068068
0.696268	0.069069
0.730629	0.070070
0.764990	0.071071
0.799999	0.072072
0.837098	0.073073
0.874196	0.074074
0.909948	0.075075
0.942510	0.076076
0.975073	0.077077
1.007635	0.078078
1.040954	0.079079
1.074112	0.080080
1.107223	0.081081
1.140073	0.082082
1.172742	0.083083
1.205410	0.084084
1.238124	0.085085
1.270985	0.086086
1.303847	0.087087
1.336708	0.088088
1.369365	0.089089
1.401999	0.090090
1.434632	0.091091
1.466316	0.092092
1.497218	0.093093
1.528119	0.094094
1.559020	0.095095
1.590351	0.096096
1.621681	0.097097
1.653011	0.098098
1.684778	0.099099
1.716956	0.100100
1.749134	0.101101
1.780913	0.102102
1.810049	0.103103
1.839186	0.104104
1.868270	0.105105
1.897489	0.106106
1.927100	0.107107
1.956711	0.108108
1.986321	0.109109
2.016103	0.110110
2.045975	0.111111
2.075847	0.112112
2.105719	0.113113
2.134450	0.114114
2.163179	0.115115
2.191908	0.116116
2.220613	0.117117
2.249201	0.118118
2.277737	0.119119
2.306243	0.120120
2.334709	0.121121
2.363096	0.122122
2.391484	0.123123
2.419871	0.124124
2.448618	0.125125
2.477764	0.126126
2.506910	0.127127
2.536056	0.128128
2.563592	0.129129
2.590523	0.130130
2.617453	0.131131
2.644384	0.132132
2.671468	0.133133
2.698658	0.134134
2.725848	0.135135
2.753038	0.136136
2.779756	0.137137
2.806110	0.138138
2.832465	0.139139
2.858820	0.140140
2.885267	0.141141
2.911884	0.142142
2.938502	0.143143
2.965119	0.144144
2.991645	0.145145
3.017781	0.146146
3.044064	0.147147
3.070386	0.148148
3.096708	0.149149
3.122289	0.150150
3.147821	0.151151
3.173353	0.152152
3.198884	0.153153
3.224617	0.154154
3.250523	0.155155
3.276430	0.156156
3.302337	0.157157
3.328258	0.158158
3.354233	0.159159
3.380424	0.160160
3.406651	0.161161
3.432878	0.162162
3.459026	0.163163
3.485164	0.164164
3.511302	0.165165
3.537440	0.166166
3.563065	0.167167
3.588277	0.168168
3.613489	0.169169
3.638701	0.170170
3.663932	0.171171
3.689898	0.172172
3.715910	0.173173
3.741922	0.174174
3.767934	0.175175
3.794068	0.176176
3.820278	0.177177
3.846487	0.178178
3.872697	0.179179
3.898569	0.180180
3.923383	0.181181
3.948197	0.182182
3.973178	0.183183
3.998204	0.184184
4.023529	0.185185
4.049076	0.186186
4.074622	0.187187
4.100169	0.188188
4.125713	0.189189
4.151106	0.190190
4.176498	0.191191
4.201890	0.192192
4.227259	0.193193
4.252640	0.194194
4.278109	0.195195
4.303578	0.196196
4.329047	0.197197
4.354517	0.198198
4.380077	0.199199
4.405651	0.200200
4.431224	0.201201
4.456798	0.202202
4.482220	0.203203
4.507137	0.204204
4.531926	0.205205
4.556714	0.206206
4.581503	0.207207
4.606307	0.208208
4.631119	0.209209
4.655930	0.210210
4.680742	0.211211
4.705551	0.212212
4.730334	0.213213
4.755118	0.214214
4.779902	0.215215
4.804195	0.216216
4.828285	0.217217
4.852182	0.218218
4.876080	0.219219
4.899978	0.220220
4.923875	0.221221
4.948061	0.222222
4.972341	0.223223
4.996621	0.224224
5.020901	0.225225
5.045048	0.226226
5.068287	0.227227
5.091525	0.228228
5.114647	0.229229
5.137291	0.230230
5.159808	0.231231
5.181975	0.232232
5.204141	0.233233
5.226307	0.234234
5.248474	0.235235
5.271030	0.236236
5.294561	0.237237
5.318092	0.238238
5.341623	0.239239
5.365154	0.240240
5.387825	0.241241
5.409988	0.242242
5.432150	0.243243
5.454312	0.244244
5.476475	0.245245
5.498458	0.246246
5.520086	0.247247
5.541714	0.248248
5.563342	0.249249
5.584970	0.250250
5.606963	0.251251
5.629182	0.252252
5.651401	0.253253
5.673620	0.254254
5.695839	0.255255
5.717660	0.256256
5.739339	0.257257
5.761017	0.258258
5.782696	0.259259
5.804375	0.260260
