Crank_Angle_(deg)	MFB_(%)
-1.100000	0.000000
8.443849	0.001001
8.563409	0.002002
8.628472	0.003003
8.674285	0.004004
8.720097	0.005005
8.750892	0.006006
8.775033	0.007007
8.798612	0.008008
8.822191	0.009009
8.845770	0.010010
8.869349	0.011011
8.886434	0.012012
8.901993	0.013013
8.916986	0.014014
8.931978	0.015015
8.946971	0.016016
8.961963	0.017017
8.976956	0.018018
8.991948	0.019019
9.006941	0.020020
9.018124	0.021021
9.026588	0.022022
9.034869	0.023023
9.042654	0.024024
9.050440	0.025025
9.058225	0.026026
9.066010	0.027027
9.073795	0.028028
9.081581	0.029029
9.089366	0.030030
9.097151	0.031031
9.104937	0.032032
9.112722	0.033033
9.120507	0.034034
9.128293	0.035035
9.136078	0.036036
9.143863	0.037037
9.151648	0.038038
9.157867	0.039039
9.163069	0.040040
9.168248	0.041041
9.173141	0.042042
9.178034	0.043043
9.182928	0.044044
9.187821	0.045045
9.192714	0.046046
9.197607	0.047047
9.202500	0.048048
9.207394	0.049049
9.212287	0.050050
9.217180	0.051051
9.222073	0.052052
9.226966	0.053053
9.231860	0.054054
9.236753	0.055055
9.241646	0.056056
9.246539	0.057057
9.251432	0.058058
9.256326	0.059059
9.261219	0.060060
9.266112	0.061061
9.271005	0.062062
9.275898	0.063063
9.280792	0.064064
9.285685	0.065065
9.290578	0.066066
9.295471	0.067067
9.299460	0.068068
9.303417	0.069069
9.307329	0.070070
9.311182	0.071071
9.315036	0.072072
9.318890	0.073073
9.322744	0.074074
9.326598	0.075075
9.330452	0.076076
9.334306	0.077077
9.338160	0.078078
9.342014	0.079079
9.345868	0.080080
9.349722	0.081081
9.353576	0.082082
9.357429	0.083083
9.361283	0.084084
9.365137	0.085085
9.368991	0.086086
9.372845	0.087087
9.376699	0.088088
9.380553	0.089089
9.384407	0.090090
9.388261	0.091091
9.392115	0.092092
9.395969	0.093093
9.399823	0.094094
9.403677	0.095095
9.407530	0.096096
9.411384	0.097097
9.415238	0.098098
9.419092	0.099099
9.422946	0.100100
9.426800	0.101101
9.430654	0.102102
9.434508	0.103103
9.437855	0.104104
9.440656	0.105105
9.443351	0.106106
9.446046	0.107107
9.448742	0.108108
9.451437	0.109109
