Crank_Angle_(deg)	MFB_(%)
0.000000	0.000000
0.140140	0.000017
0.280280	0.000060
0.420420	0.000099
0.560561	0.000137
0.700701	0.000179
0.840841	0.000228
0.980981	0.000285
1.121121	0.000349
1.261261	0.000433
1.401401	0.000521
1.541542	0.000651
1.681682	0.000800
1.821822	0.000980
1.961962	0.001195
2.102102	0.001449
2.242242	0.001757
2.382382	0.002123
2.522523	0.002543
2.662663	0.003042
2.802803	0.003636
2.942943	0.004341
3.083083	0.005171
3.223223	0.006139
3.363363	0.007323
3.503504	0.008664
3.643644	0.010234
3.783784	0.012067
3.923924	0.014159
4.064064	0.016560
4.204204	0.019410
4.344344	0.023462
4.484484	0.028133
4.624625	0.033937
4.764765	0.040890
4.904905	0.048774
5.045045	0.057870
5.185185	0.067963
5.325325	0.079239
5.465465	0.091491
5.605606	0.104701
5.745746	0.118468
5.885886	0.132618
6.026026	0.146356
6.166166	0.159306
6.306306	0.171324
6.446446	0.182397
6.586587	0.192885
6.726727	0.203580
6.866867	0.215291
7.007007	0.229033
7.147147	0.246085
7.287287	0.265885
7.427427	0.287828
7.567568	0.310421
7.707708	0.331079
7.847848	0.348571
7.987988	0.365194
8.128128	0.382126
8.268268	0.398907
8.408408	0.415451
8.548549	0.437014
8.688689	0.463883
8.828829	0.494125
8.968969	0.525434
9.109109	0.555674
9.249249	0.584950
9.389389	0.613299
9.529530	0.639666
9.669670	0.664059
9.809810	0.688100
9.949950	0.716233
10.090090	0.746611
10.230230	0.776737
10.370370	0.806214
10.510511	0.835798
10.650651	0.863752
10.790791	0.886182
10.930931	0.901280
11.071071	0.912879
11.211211	0.923480
11.351351	0.934086
11.491491	0.943134
11.631632	0.949800
11.771772	0.955111
11.911912	0.959354
12.052052	0.962837
12.192192	0.965713
12.332332	0.968077
12.472472	0.970271
12.612613	0.972777
12.752753	0.975526
12.892893	0.977944
13.033033	0.979708
13.173173	0.981237
13.313313	0.982697
13.453453	0.984067
13.593594	0.985174
13.733734	0.986151
13.873874	0.987141
14.014014	0.988161
14.154154	0.989106
14.294294	0.989856
14.434434	0.990479
14.574575	0.991022
14.714715	0.991561
14.854855	0.992114
14.994995	0.992608
15.135135	0.993064
15.275275	0.993483
15.415415	0.993874
15.555556	0.994170
15.695696	0.994458
15.835836	0.994721
15.975976	0.994989
16.116116	0.995243
16.256256	0.995479
16.396396	0.995716
16.536537	0.995921
16.676677	0.996126
16.816817	0.996301
16.956957	0.996466
17.097097	0.996622
17.237237	0.996771
17.377377	0.996948
17.517518	0.997109
17.657658	0.997241
17.797798	0.997364
17.937938	0.997474
18.078078	0.997568
18.218218	0.997646
18.358358	0.997710
18.498498	0.997765
18.638639	0.997813
18.778779	0.997854
18.918919	0.997885
19.059059	0.997909
19.199199	0.997929
19.339339	0.997949
19.479479	0.997970
19.619620	0.997991
19.759760	0.998010
19.899900	0.998028
20.040040	0.998045
20.180180	0.998061
20.320320	0.998077
20.460460	0.998093
20.600601	0.998110
20.740741	0.998128
20.880881	0.998147
21.021021	0.998166
21.161161	0.998184
21.301301	0.998202
21.441441	0.998219
21.581582	0.998235
21.721722	0.998251
21.861862	0.998268
22.002002	0.998285
22.142142	0.998302
22.282282	0.998320
22.422422	0.998337
22.562563	0.998355
22.702703	0.998372
22.842843	0.998388
22.982983	0.998405
23.123123	0.998421
23.263263	0.998437
23.403403	0.998453
23.543544	0.998470
23.683684	0.998487
23.823824	0.998503
23.963964	0.998520
24.104104	0.998536
24.244244	0.998552
24.384384	0.998568
24.524525	0.998583
24.664665	0.998599
24.804805	0.998615
24.944945	0.998630
25.085085	0.998646
25.225225	0.998661
25.365365	0.998677
25.505506	0.998692
25.645646	0.998707
25.785786	0.998722
25.925926	0.998737
26.066066	0.998752
26.206206	0.998766
26.346346	0.998781
26.486486	0.998796
26.626627	0.998810
26.766767	0.998824
26.906907	0.998839
27.047047	0.998853
27.187187	0.998867
27.327327	0.998880
27.467467	0.998894
27.607608	0.998908
27.747748	0.998921
27.887888	0.998935
28.028028	0.998948
28.168168	0.998961
28.308308	0.998974
28.448448	0.998987
28.588589	0.999000
28.728729	0.999013
28.868869	0.999025
29.009009	0.999038
29.149149	0.999050
29.289289	0.999063
29.429429	0.999075
29.569570	0.999087
29.709710	0.999099
29.849850	0.999111
29.989990	0.999122
30.130130	0.999134
30.270270	0.999145
30.410410	0.999157
30.550551	0.999168
30.690691	0.999179
30.830831	0.999190
30.970971	0.999201
31.111111	0.999212
31.251251	0.999223
31.391391	0.999233
31.531532	0.999243
31.671672	0.999254
31.811812	0.999264
31.951952	0.999274
32.092092	0.999284
32.232232	0.999294
32.372372	0.999304
32.512513	0.999314
32.652653	0.999323
32.792793	0.999333
32.932933	0.999342
33.073073	0.999351
33.213213	0.999360
33.353353	0.999369
33.493493	0.999378
33.633634	0.999387
33.773774	0.999396
33.913914	0.999404
34.054054	0.999413
34.194194	0.999421
34.334334	0.999430
34.474474	0.999438
34.614615	0.999446
34.754755	0.999454
34.894895	0.999462
35.035035	0.999470
35.175175	0.999477
35.315315	0.999485
35.455455	0.999492
35.595596	0.999500
35.735736	0.999507
35.875876	0.999514
36.016016	0.999522
36.156156	0.999529
36.296296	0.999536
36.436436	0.999542
36.576577	0.999549
36.716717	0.999556
36.856857	0.999562
36.996997	0.999569
37.137137	0.999575
37.277277	0.999582
37.417417	0.999588
37.557558	0.999594
37.697698	0.999600
37.837838	0.999606
37.977978	0.999612
38.118118	0.999618
38.258258	0.999624
38.398398	0.999629
38.538539	0.999635
38.678679	0.999641
38.818819	0.999646
38.958959	0.999651
39.099099	0.999657
39.239239	0.999662
39.379379	0.999667
39.519520	0.999672
39.659660	0.999677
39.799800	0.999682
39.939940	0.999687
40.080080	0.999692
