Crank_Angle_(deg)	MFB_(%)
0.000000	0.000000
0.140140	0.000000
0.280280	0.000000
0.420420	0.000000
0.560561	0.000000
0.700701	0.000000
0.840841	0.000000
0.980981	0.000000
1.121121	0.000000
1.261261	0.000000
1.401401	0.000000
1.541542	0.000000
1.681682	0.000000
1.821822	0.000000
1.961962	0.000000
2.102102	0.000000
2.242242	0.000000
2.382382	0.000000
2.522523	0.000000
2.662663	0.000000
2.802803	0.000000
2.942943	0.000000
3.083083	0.000000
3.223223	0.000000
3.363363	0.000000
3.503504	0.000000
3.643644	0.000000
3.783784	0.000000
3.923924	0.000000
4.064064	0.000000
4.204204	0.000000
4.344344	0.000000
4.484484	0.000000
4.624625	0.000000
4.764765	0.000000
4.904905	0.000000
5.045045	0.000000
5.185185	0.000000
5.325325	0.000000
5.465465	0.000000
5.605606	0.000000
5.745746	0.000000
5.885886	0.000000
6.026026	0.000000
6.166166	0.000000
6.306306	0.000000
6.446446	0.000000
6.586587	0.000000
6.726727	0.000000
6.866867	0.000000
7.007007	0.000000
7.147147	0.000000
7.287287	0.000001
7.427427	0.000001
7.567568	0.000001
7.707708	0.000001
7.847848	0.000001
7.987988	0.000001
8.128128	0.000001
8.268268	0.000001
8.408408	0.000001
8.548549	0.000001
8.688689	0.000001
8.828829	0.000001
8.968969	0.000001
9.109109	0.000001
9.249249	0.000001
9.389389	0.000001
9.529530	0.000001
9.669670	0.000001
9.809810	0.000001
9.949950	0.000001
10.090090	0.000010
10.230230	0.000097
10.370370	0.000197
10.510511	0.000463
10.650651	0.001031
10.790791	0.002246
10.930931	0.005263
11.071071	0.011166
11.211211	0.020437
11.351351	0.038432
11.491491	0.067101
11.631632	0.103621
11.771772	0.156341
11.911912	0.224966
12.052052	0.430286
12.192192	0.862635
12.332332	0.971163
12.472472	0.988958
12.612613	0.993229
12.752753	0.993229
12.892893	0.993803
13.033033	0.994542
13.173173	0.995158
13.313313	0.995288
13.453453	0.995429
13.593594	0.995499
13.733734	0.995499
13.873874	0.995499
14.014014	0.995499
14.154154	0.995499
14.294294	0.995622
14.434434	0.995971
14.574575	0.996121
14.714715	0.996194
14.854855	0.996244
14.994995	0.996258
15.135135	0.996258
15.275275	0.996258
15.415415	0.996258
15.555556	0.996333
15.695696	0.996577
15.835836	0.996732
15.975976	0.996815
16.116116	0.996874
16.256256	0.996912
16.396396	0.996918
16.536537	0.996918
16.676677	0.996918
16.816817	0.996926
16.956957	0.997099
17.097097	0.997247
17.237237	0.997334
17.377377	0.997394
17.517518	0.997446
17.657658	0.997471
17.797798	0.997471
17.937938	0.997471
18.078078	0.997477
18.218218	0.997558
18.358358	0.997670
18.498498	0.997756
18.638639	0.997814
18.778779	0.997861
18.918919	0.997902
19.059059	0.997921
19.199199	0.997922
19.339339	0.997925
19.479479	0.997957
19.619620	0.998026
19.759760	0.998102
19.899900	0.998163
20.040040	0.998207
20.180180	0.998243
20.320320	0.998276
20.460460	0.998294
20.600601	0.998299
20.740741	0.998312
20.880881	0.998344
21.021021	0.998395
21.161161	0.998450
21.301301	0.998496
21.441441	0.998531
21.581582	0.998560
21.721722	0.998586
21.861862	0.998604
22.002002	0.998614
22.142142	0.998628
22.282282	0.998654
22.422422	0.998691
22.562563	0.998733
22.702703	0.998768
22.842843	0.998795
22.982983	0.998819
23.123123	0.998840
23.263263	0.998857
23.403403	0.998868
23.543544	0.998881
23.683684	0.998901
23.823824	0.998929
23.963964	0.998960
24.104104	0.998988
24.244244	0.999010
24.384384	0.999030
24.524525	0.999048
24.664665	0.999062
24.804805	0.999074
24.944945	0.999086
25.085085	0.999101
25.225225	0.999121
25.365365	0.999145
25.505506	0.999167
25.645646	0.999186
25.785786	0.999202
25.925926	0.999217
26.066066	0.999231
26.206206	0.999242
26.346346	0.999253
26.486486	0.999264
26.626627	0.999279
26.766767	0.999297
26.906907	0.999314
27.047047	0.999330
27.187187	0.999345
27.327327	0.999358
27.467467	0.999369
27.607608	0.999380
27.747748	0.999389
27.887888	0.999399
28.028028	0.999410
28.168168	0.999423
28.308308	0.999437
28.448448	0.999450
28.588589	0.999462
28.728729	0.999473
28.868869	0.999484
29.009009	0.999493
29.149149	0.999501
29.289289	0.999510
29.429429	0.999518
29.569570	0.999528
29.709710	0.999538
29.849850	0.999549
29.989990	0.999559
30.130130	0.999569
30.270270	0.999578
30.410410	0.999585
30.550551	0.999593
30.690691	0.999600
30.830831	0.999607
30.970971	0.999614
31.111111	0.999622
31.251251	0.999630
31.391391	0.999638
31.531532	0.999646
31.671672	0.999654
31.811812	0.999661
31.951952	0.999668
32.092092	0.999674
32.232232	0.999680
32.372372	0.999686
32.512513	0.999692
32.652653	0.999699
32.792793	0.999705
32.932933	0.999711
33.073073	0.999717
33.213213	0.999723
33.353353	0.999729
33.493493	0.999734
33.633634	0.999740
33.773774	0.999745
33.913914	0.999750
34.054054	0.999755
