Crank_Angle_(deg)	MFB_(%)
0.000000	0.000000
0.140140	0.000000
0.280280	0.000000
0.420420	0.000000
0.560561	0.000000
0.700701	0.000000
0.840841	0.000000
0.980981	0.000000
1.121121	0.000000
1.261261	0.000000
1.401401	0.000000
1.541542	0.000000
1.681682	0.000000
1.821822	0.000000
1.961962	0.000000
2.102102	0.000000
2.242242	0.000000
2.382382	0.000000
2.522523	0.000000
2.662663	0.000000
2.802803	0.000000
2.942943	0.000000
3.083083	0.000000
3.223223	0.000000
3.363363	0.000000
3.503504	0.000000
3.643644	0.000000
3.783784	0.000000
3.923924	0.000000
4.064064	0.000000
4.204204	0.000000
4.344344	0.000000
4.484484	0.000000
4.624625	0.000000
4.764765	0.000000
4.904905	0.000000
5.045045	0.000000
5.185185	0.000000
5.325325	0.000000
5.465465	0.000000
5.605606	0.000000
5.745746	0.000000
5.885886	0.000000
6.026026	0.000000
6.166166	0.000000
6.306306	0.000000
6.446446	0.000000
6.586587	0.000000
6.726727	0.000000
6.866867	0.000000
7.007007	0.000000
7.147147	0.000000
7.287287	0.000000
7.427427	0.000000
7.567568	0.000000
7.707708	0.000000
7.847848	0.000000
7.987988	0.000000
8.128128	0.000000
8.268268	0.000000
8.408408	0.000000
8.548549	0.000000
8.688689	0.000000
8.828829	0.000000
8.968969	0.000000
9.109109	0.000000
9.249249	0.000000
9.389389	0.000000
9.529530	0.000000
9.669670	0.000000
9.809810	0.000000
9.949950	0.000000
10.090090	0.000009
10.230230	0.000032
10.370370	0.000061
10.510511	0.000089
10.650651	0.000106
10.790791	0.000122
10.930931	0.000140
11.071071	0.000158
11.211211	0.000179
11.351351	0.000202
11.491491	0.000228
11.631632	0.000255
11.771772	0.000282
11.911912	0.000313
12.052052	0.000348
12.192192	0.000385
12.332332	0.000422
12.472472	0.000461
12.612613	0.000507
12.752753	0.000556
12.892893	0.000612
13.033033	0.000672
13.173173	0.000738
13.313313	0.000803
13.453453	0.000874
13.593594	0.000952
13.733734	0.001035
13.873874	0.001123
14.014014	0.001219
14.154154	0.001319
14.294294	0.001428
14.434434	0.001541
14.574575	0.001658
14.714715	0.001796
14.854855	0.001937
14.994995	0.002086
15.135135	0.002251
15.275275	0.002420
15.415415	0.002596
15.555556	0.002789
15.695696	0.002999
15.835836	0.003215
15.975976	0.003442
16.116116	0.003687
16.256256	0.003951
16.396396	0.004227
16.536537	0.004532
16.676677	0.004854
16.816817	0.005190
16.956957	0.005547
17.097097	0.005929
17.237237	0.006333
17.377377	0.006762
17.517518	0.007214
17.657658	0.007704
17.797798	0.008220
17.937938	0.008772
18.078078	0.009346
18.218218	0.009959
18.358358	0.010598
18.498498	0.011271
18.638639	0.011976
18.778779	0.012721
18.918919	0.013494
19.059059	0.014316
19.199199	0.015168
19.339339	0.016059
19.479479	0.016988
19.619620	0.017952
19.759760	0.018971
19.899900	0.020006
20.040040	0.021107
20.180180	0.022236
20.320320	0.023391
20.460460	0.024581
20.600601	0.025887
20.740741	0.027199
20.880881	0.028520
21.021021	0.029919
21.161161	0.031446
21.301301	0.032979
21.441441	0.034620
21.581582	0.036286
21.721722	0.037917
21.861862	0.039726
22.002002	0.041578
22.142142	0.043434
22.282282	0.045348
22.422422	0.047384
22.562563	0.049393
22.702703	0.051461
22.842843	0.053544
22.982983	0.055652
23.123123	0.057783
23.263263	0.059958
23.403403	0.062077
23.543544	0.064269
23.683684	0.066440
23.823824	0.068633
23.963964	0.070827
24.104104	0.073093
24.244244	0.075298
24.384384	0.077547
24.524525	0.079746
24.664665	0.082041
24.804805	0.084245
24.944945	0.086579
25.085085	0.088868
25.225225	0.091181
25.365365	0.093546
25.505506	0.095928
25.645646	0.098283
25.785786	0.100660
25.925926	0.103040
26.066066	0.105459
26.206206	0.107854
26.346346	0.110291
26.486486	0.112721
26.626627	0.115152
26.766767	0.117651
26.906907	0.120103
27.047047	0.122590
27.187187	0.125130
27.327327	0.127640
27.467467	0.130194
27.607608	0.132695
27.747748	0.135289
27.887888	0.137828
28.028028	0.140389
28.168168	0.143000
28.308308	0.145628
28.448448	0.148220
28.588589	0.150902
28.728729	0.153488
28.868869	0.156100
29.009009	0.158785
29.149149	0.161366
29.289289	0.163970
29.429429	0.166633
29.569570	0.169248
29.709710	0.171868
29.849850	0.174470
29.989990	0.177065
30.130130	0.179687
30.270270	0.182288
30.410410	0.184895
30.550551	0.187490
30.690691	0.190074
30.830831	0.192656
30.970971	0.195212
31.111111	0.197768
31.251251	0.200364
31.391391	0.202879
31.531532	0.205440
31.671672	0.207992
31.811812	0.210524
31.951952	0.213047
32.092092	0.215597
32.232232	0.218115
32.372372	0.220652
32.512513	0.223154
32.652653	0.225624
32.792793	0.228094
32.932933	0.230591
33.073073	0.233148
33.213213	0.235661
33.353353	0.238182
33.493493	0.240697
33.633634	0.243163
33.773774	0.245670
33.913914	0.248195
34.054054	0.250691
