Crank_Angle_(deg)	MFB_(%)
0.000000	0.000000
0.140140	0.000000
0.280280	0.000000
0.420420	0.000000
0.560561	0.000000
0.700701	0.000000
0.840841	0.000000
0.980981	0.000000
1.121121	0.000000
1.261261	0.000000
1.401401	0.000000
1.541542	0.000000
1.681682	0.000000
1.821822	0.000000
1.961962	0.000000
2.102102	0.000000
2.242242	0.000000
2.382382	0.000000
2.522523	0.000000
2.662663	0.000000
2.802803	0.000001
2.942943	0.000001
3.083083	0.000001
3.223223	0.000001
3.363363	0.000001
3.503504	0.000001
3.643644	0.000001
3.783784	0.000001
3.923924	0.000001
4.064064	0.000001
4.204204	0.000001
4.344344	0.000001
4.484484	0.000001
4.624625	0.000001
4.764765	0.000001
4.904905	0.000001
5.045045	0.000001
5.185185	0.000001
5.325325	0.000001
5.465465	0.000001
5.605606	0.000001
5.745746	0.000001
5.885886	0.000001
6.026026	0.000001
6.166166	0.000001
6.306306	0.000001
6.446446	0.000001
6.586587	0.000001
6.726727	0.000001
6.866867	0.000001
7.007007	0.000001
7.147147	0.000002
7.287287	0.000002
7.427427	0.000002
7.567568	0.000002
7.707708	0.000002
7.847848	0.000002
7.987988	0.000002
8.128128	0.000002
8.268268	0.000002
8.408408	0.000002
8.548549	0.000002
8.688689	0.000002
8.828829	0.000002
8.968969	0.000002
9.109109	0.000002
9.249249	0.000002
9.389389	0.000002
9.529530	0.000002
9.669670	0.000002
9.809810	0.000002
9.949950	0.000002
10.090090	0.000007
10.230230	0.004151
10.370370	0.153929
10.510511	0.555628
10.650651	0.913641
10.790791	0.973727
10.930931	0.974267
11.071071	0.975435
11.211211	0.975715
11.351351	0.975715
11.491491	0.975715
11.631632	0.976316
11.771772	0.976758
11.911912	0.976758
12.052052	0.976846
12.192192	0.977292
12.332332	0.977788
12.472472	0.977834
12.612613	0.977862
12.752753	0.978112
12.892893	0.978531
13.033033	0.978760
13.173173	0.978801
13.313313	0.978921
13.453453	0.979216
13.593594	0.979485
13.733734	0.979578
13.873874	0.979667
14.014014	0.979854
14.154154	0.980111
14.294294	0.980291
14.434434	0.980402
14.574575	0.980541
14.714715	0.980745
14.854855	0.980926
14.994995	0.981041
15.135135	0.981149
15.275275	0.981310
15.415415	0.981505
15.555556	0.981660
15.695696	0.981786
15.835836	0.981919
15.975976	0.982083
16.116116	0.982240
16.256256	0.982359
16.396396	0.982470
16.536537	0.982613
16.676677	0.982776
16.816817	0.982924
16.956957	0.983051
17.097097	0.983179
17.237237	0.983323
17.377377	0.983463
17.517518	0.983585
17.657658	0.983701
17.797798	0.983833
17.937938	0.983979
18.078078	0.984116
18.218218	0.984242
18.358358	0.984367
18.498498	0.984500
18.638639	0.984629
18.778779	0.984748
18.918919	0.984865
19.059059	0.984992
19.199199	0.985127
19.339339	0.985259
19.479479	0.985384
19.619620	0.985506
19.759760	0.985631
19.899900	0.985753
20.040040	0.985871
20.180180	0.985987
20.320320	0.986107
20.460460	0.986233
20.600601	0.986358
20.740741	0.986479
20.880881	0.986598
21.021021	0.986717
21.161161	0.986835
21.301301	0.986950
21.441441	0.987063
21.581582	0.987178
21.721722	0.987296
21.861862	0.987414
22.002002	0.987531
22.142142	0.987645
22.282282	0.987759
22.422422	0.987871
22.562563	0.987982
22.702703	0.988091
22.842843	0.988201
22.982983	0.988313
23.123123	0.988425
23.263263	0.988536
23.403403	0.988645
23.543544	0.988754
23.683684	0.988861
23.823824	0.988967
23.963964	0.989071
24.104104	0.989176
24.244244	0.989281
24.384384	0.989387
24.524525	0.989493
24.664665	0.989596
24.804805	0.989699
24.944945	0.989801
25.085085	0.989902
25.225225	0.990001
25.365365	0.990100
25.505506	0.990199
25.645646	0.990299
25.785786	0.990398
25.925926	0.990496
26.066066	0.990593
26.206206	0.990689
26.346346	0.990784
26.486486	0.990878
26.626627	0.990971
26.766767	0.991064
26.906907	0.991157
27.047047	0.991250
27.187187	0.991342
27.327327	0.991433
27.467467	0.991523
27.607608	0.991612
27.747748	0.991701
27.887888	0.991788
28.028028	0.991875
28.168168	0.991962
28.308308	0.992048
28.448448	0.992134
28.588589	0.992219
28.728729	0.992304
28.868869	0.992387
29.009009	0.992470
29.149149	0.992552
29.289289	0.992633
29.429429	0.992714
29.569570	0.992795
29.709710	0.992874
29.849850	0.992954
29.989990	0.993032
30.130130	0.993110
30.270270	0.993187
30.410410	0.993264
30.550551	0.993336
30.690691	0.993407
30.830831	0.993482
30.970971	0.993556
31.111111	0.993629
31.251251	0.993703
31.391391	0.993775
31.531532	0.993847
31.671672	0.993918
31.811812	0.993988
31.951952	0.994058
32.092092	0.994127
32.232232	0.994195
32.372372	0.994263
32.512513	0.994330
32.652653	0.994397
32.792793	0.994463
32.932933	0.994528
33.073073	0.994592
33.213213	0.994656
33.353353	0.994720
33.493493	0.994782
33.633634	0.994844
33.773774	0.994906
33.913914	0.994967
34.054054	0.995027
