Crank_Angle_(deg)	MFB_(%)
0.000000	0.000000
0.140140	0.000000
0.280280	0.000000
0.420420	0.000000
0.560561	0.000000
0.700701	0.000000
0.840841	0.000000
0.980981	0.000000
1.121121	0.000000
1.261261	0.000000
1.401401	0.000000
1.541542	0.000000
1.681682	0.000000
1.821822	0.000000
1.961962	0.000000
2.102102	0.000000
2.242242	0.000000
2.382382	0.000000
2.522523	0.000000
2.662663	0.000000
2.802803	0.000000
2.942943	0.000000
3.083083	0.000000
3.223223	0.000000
3.363363	0.000000
3.503504	0.000000
3.643644	0.000000
3.783784	0.000000
3.923924	0.000000
4.064064	0.000000
4.204204	0.000000
4.344344	0.000000
4.484484	0.000000
4.624625	0.000000
4.764765	0.000000
4.904905	0.000000
5.045045	0.000000
5.185185	0.000000
5.325325	0.000000
5.465465	0.000000
5.605606	0.000000
5.745746	0.000000
5.885886	0.000000
6.026026	0.000000
6.166166	0.000000
6.306306	0.000000
6.446446	0.000000
6.586587	0.000000
6.726727	0.000000
6.866867	0.000000
7.007007	0.000000
7.147147	0.000000
7.287287	0.000000
7.427427	0.000000
7.567568	0.000000
7.707708	0.000000
7.847848	0.000000
7.987988	0.000000
8.128128	0.000000
8.268268	0.000000
8.408408	0.000000
8.548549	0.000000
8.688689	0.000000
8.828829	0.000000
8.968969	0.000000
9.109109	0.000000
9.249249	0.000000
9.389389	0.000000
9.529530	0.000000
9.669670	0.000000
9.809810	0.000000
9.949950	0.000000
10.090090	0.000009
10.230230	0.000028
10.370370	0.000051
10.510511	0.000074
10.650651	0.000090
10.790791	0.000104
10.930931	0.000118
11.071071	0.000133
11.211211	0.000148
11.351351	0.000167
11.491491	0.000187
11.631632	0.000208
11.771772	0.000230
11.911912	0.000254
12.052052	0.000279
12.192192	0.000306
12.332332	0.000337
12.472472	0.000367
12.612613	0.000398
12.752753	0.000433
12.892893	0.000472
13.033033	0.000516
13.173173	0.000558
13.313313	0.000604
13.453453	0.000651
13.593594	0.000706
13.733734	0.000764
13.873874	0.000820
14.014014	0.000877
14.154154	0.000942
14.294294	0.001010
14.434434	0.001078
14.574575	0.001151
14.714715	0.001233
14.854855	0.001318
14.994995	0.001405
15.135135	0.001497
15.275275	0.001596
15.415415	0.001699
15.555556	0.001801
15.695696	0.001912
15.835836	0.002030
15.975976	0.002157
16.116116	0.002284
16.256256	0.002417
16.396396	0.002556
16.536537	0.002700
16.676677	0.002853
16.816817	0.003013
16.956957	0.003180
17.097097	0.003349
17.237237	0.003534
17.377377	0.003724
17.517518	0.003923
17.657658	0.004131
17.797798	0.004349
17.937938	0.004574
18.078078	0.004814
18.218218	0.005062
18.358358	0.005322
18.498498	0.005591
18.638639	0.005871
18.778779	0.006168
18.918919	0.006469
19.059059	0.006790
19.199199	0.007122
19.339339	0.007470
19.479479	0.007831
19.619620	0.008206
19.759760	0.008601
19.899900	0.009005
20.040040	0.009435
20.180180	0.009872
20.320320	0.010328
20.460460	0.010798
20.600601	0.011288
20.740741	0.011795
20.880881	0.012310
21.021021	0.012846
21.161161	0.013394
21.301301	0.013960
21.441441	0.014540
21.581582	0.015138
21.721722	0.015749
21.861862	0.016373
22.002002	0.017021
22.142142	0.017667
22.282282	0.018332
22.422422	0.019007
22.562563	0.019698
22.702703	0.020414
22.842843	0.021140
22.982983	0.021874
23.123123	0.022618
23.263263	0.023378
23.403403	0.024151
23.543544	0.024940
23.683684	0.025736
23.823824	0.026552
23.963964	0.027386
24.104104	0.028226
24.244244	0.029077
24.384384	0.029951
24.524525	0.030830
24.664665	0.031743
24.804805	0.032658
24.944945	0.033587
25.085085	0.034518
25.225225	0.035450
25.365365	0.036401
25.505506	0.037344
25.645646	0.038313
25.785786	0.039274
25.925926	0.040240
26.066066	0.041228
26.206206	0.042216
26.346346	0.043211
26.486486	0.044209
26.626627	0.045220
26.766767	0.046237
26.906907	0.047259
27.047047	0.048279
27.187187	0.049341
27.327327	0.050364
27.467467	0.051404
27.607608	0.052443
27.747748	0.053474
27.887888	0.054502
28.028028	0.055530
28.168168	0.056560
28.308308	0.057574
28.448448	0.058612
28.588589	0.059622
28.728729	0.060648
28.868869	0.061678
29.009009	0.062729
29.149149	0.063751
29.289289	0.064798
29.429429	0.065847
29.569570	0.066909
29.709710	0.067962
29.849850	0.069022
29.989990	0.070110
30.130130	0.071178
30.270270	0.072198
30.410410	0.073218
30.550551	0.074243
30.690691	0.075322
30.830831	0.076341
30.970971	0.077380
31.111111	0.078437
31.251251	0.079470
31.391391	0.080552
31.531532	0.081566
31.671672	0.082619
31.811812	0.083699
31.951952	0.084787
32.092092	0.085869
32.232232	0.086941
32.372372	0.088061
32.512513	0.089192
32.652653	0.090278
32.792793	0.091350
32.932933	0.092433
33.073073	0.093519
33.213213	0.094596
33.353353	0.095677
33.493493	0.096742
33.633634	0.097820
33.773774	0.098899
33.913914	0.099978
34.054054	0.101066
