Crank_Angle_(deg)	MFB_(%)
0.000000	0.000000
0.140140	0.000589
0.280280	0.067974
0.420420	0.394510
0.560561	0.825823
0.700701	0.972424
0.840841	0.973714
0.980981	0.974734
1.121121	0.975117
1.261261	0.975117
1.401401	0.975117
1.541542	0.975255
1.681682	0.975831
1.821822	0.975944
1.961962	0.975944
2.102102	0.975944
2.242242	0.976423
2.382382	0.976610
2.522523	0.976610
2.662663	0.976610
2.802803	0.976846
2.942943	0.977129
3.083083	0.977174
3.223223	0.977175
3.363363	0.977301
3.503504	0.977547
3.643644	0.977648
3.783784	0.977648
3.923924	0.977696
4.064064	0.977882
4.204204	0.978051
4.344344	0.978106
4.484484	0.978146
4.624625	0.978259
4.764765	0.978405
4.904905	0.978488
5.045045	0.978525
5.185185	0.978593
5.325325	0.978731
5.465465	0.978852
5.605606	0.978928
5.745746	0.978990
5.885886	0.979088
6.026026	0.979196
6.166166	0.979273
6.306306	0.979326
6.446446	0.979405
6.586587	0.979517
6.726727	0.979622
6.866867	0.979703
7.007007	0.979776
7.147147	0.979868
7.287287	0.979962
7.427427	0.980037
7.567568	0.980102
7.707708	0.980183
7.847848	0.980287
7.987988	0.980386
8.128128	0.980472
8.268268	0.980551
8.408408	0.980639
8.548549	0.980727
8.688689	0.980804
8.828829	0.980878
8.968969	0.980963
9.109109	0.981061
9.249249	0.981155
9.389389	0.981243
9.529530	0.981330
9.669670	0.981418
9.809810	0.981505
9.949950	0.981586
10.090090	0.981666
10.230230	0.981754
10.370370	0.981848
10.510511	0.981942
10.650651	0.982031
10.790791	0.982119
10.930931	0.982208
11.071071	0.982294
11.211211	0.982378
11.351351	0.982464
11.491491	0.982555
11.631632	0.982650
11.771772	0.982744
11.911912	0.982837
12.052052	0.982928
12.192192	0.983018
12.332332	0.983107
12.472472	0.983195
12.612613	0.983285
12.752753	0.983378
12.892893	0.983474
13.033033	0.983570
13.173173	0.983664
13.313313	0.983758
13.453453	0.983851
13.593594	0.983943
13.733734	0.984035
13.873874	0.984128
14.014014	0.984223
14.154154	0.984321
14.294294	0.984418
14.434434	0.984515
14.574575	0.984611
14.714715	0.984706
14.854855	0.984801
14.994995	0.984895
15.135135	0.984990
15.275275	0.985087
15.415415	0.985184
15.555556	0.985282
15.695696	0.985379
15.835836	0.985476
15.975976	0.985573
16.116116	0.985669
16.256256	0.985765
16.396396	0.985862
16.536537	0.985960
16.676677	0.986058
16.816817	0.986157
16.956957	0.986255
17.097097	0.986353
17.237237	0.986451
17.377377	0.986548
17.517518	0.986645
17.657658	0.986742
17.797798	0.986840
17.937938	0.986937
18.078078	0.987035
18.218218	0.987133
18.358358	0.987230
18.498498	0.987327
18.638639	0.987423
18.778779	0.987520
18.918919	0.987616
19.059059	0.987713
19.199199	0.987811
19.339339	0.987908
19.479479	0.988005
19.619620	0.988101
19.759760	0.988197
19.899900	0.988292
20.040040	0.988387
20.180180	0.988474
20.320320	0.988568
20.460460	0.988663
20.600601	0.988759
20.740741	0.988854
20.880881	0.988948
21.021021	0.989043
21.161161	0.989137
21.301301	0.989230
21.441441	0.989324
21.581582	0.989417
21.721722	0.989509
21.861862	0.989602
22.002002	0.989694
22.142142	0.989786
22.282282	0.989878
22.422422	0.989969
22.562563	0.990060
22.702703	0.990150
22.842843	0.990240
22.982983	0.990330
23.123123	0.990419
23.263263	0.990509
23.403403	0.990597
23.543544	0.990686
23.683684	0.990774
23.823824	0.990861
23.963964	0.990948
24.104104	0.991035
24.244244	0.991121
24.384384	0.991207
24.524525	0.991293
24.664665	0.991378
24.804805	0.991463
24.944945	0.991547
25.085085	0.991630
25.225225	0.991714
25.365365	0.991797
25.505506	0.991879
25.645646	0.991961
25.785786	0.992042
25.925926	0.992123
26.066066	0.992203
26.206206	0.992284
26.346346	0.992363
26.486486	0.992442
26.626627	0.992521
26.766767	0.992598
26.906907	0.992676
27.047047	0.992753
27.187187	0.992829
27.327327	0.992905
27.467467	0.992981
27.607608	0.993056
27.747748	0.993130
27.887888	0.993204
28.028028	0.993277
28.168168	0.993350
28.308308	0.993422
28.448448	0.993494
28.588589	0.993565
28.728729	0.993635
28.868869	0.993706
29.009009	0.993775
29.149149	0.993844
29.289289	0.993913
29.429429	0.993981
29.569570	0.994048
29.709710	0.994115
29.849850	0.994182
29.989990	0.994247
30.130130	0.994313
30.270270	0.994377
