Crank_Angle_(deg)	MFB_(%)
-0.860000	0.000000
8.794086	0.001001
8.891510	0.002002
8.947800	0.003003
8.990051	0.004004
9.025885	0.005005
9.049048	0.006006
9.067351	0.007007
9.085325	0.008008
9.103298	0.009009
9.121271	0.010010
9.139245	0.011011
9.152216	0.012012
9.164074	0.013013
9.175600	0.014014
9.187126	0.015015
9.198652	0.016016
9.210178	0.017017
9.221703	0.018018
9.233229	0.019019
9.244755	0.020020
9.253347	0.021021
9.259844	0.022022
9.266234	0.023023
9.272334	0.024024
9.278433	0.025025
9.284533	0.026026
9.290632	0.027027
9.296731	0.028028
9.302831	0.029029
9.308930	0.030030
9.315030	0.031031
9.321129	0.032032
9.327228	0.033033
9.333328	0.034034
9.339427	0.035035
9.345527	0.036036
9.351626	0.037037
9.357726	0.038038
9.362618	0.039039
9.366728	0.040040
9.370824	0.041041
9.374753	0.042042
9.378682	0.043043
9.382610	0.044044
9.386539	0.045045
9.390468	0.046046
9.394396	0.047047
9.398325	0.048048
9.402253	0.049049
9.406182	0.050050
9.410111	0.051051
9.414039	0.052052
9.417968	0.053053
9.421897	0.054054
9.425825	0.055055
9.429754	0.056056
9.433683	0.057057
9.437611	0.058058
9.441540	0.059059
9.445469	0.060060
9.449397	0.061061
9.453326	0.062062
9.457255	0.063063
9.461183	0.064064
9.465112	0.065065
9.469041	0.066066
9.472969	0.067067
9.476198	0.068068
9.479370	0.069069
9.482515	0.070070
9.485627	0.071071
9.488739	0.072072
9.491850	0.073073
9.494962	0.074074
9.498073	0.075075
9.501185	0.076076
9.504297	0.077077
9.507408	0.078078
9.510520	0.079079
9.513631	0.080080
9.516743	0.081081
9.519855	0.082082
9.522966	0.083083
9.526078	0.084084
9.529189	0.085085
9.532301	0.086086
9.535413	0.087087
9.538524	0.088088
9.541636	0.089089
9.544748	0.090090
9.547859	0.091091
9.550971	0.092092
9.554082	0.093093
9.557194	0.094094
9.560306	0.095095
9.563417	0.096096
9.566529	0.097097
9.569640	0.098098
9.572752	0.099099
9.575864	0.100100
9.578975	0.101101
9.582087	0.102102
9.585198	0.103103
9.587920	0.104104
9.590221	0.105105
9.592460	0.106106
9.594699	0.107107
9.596938	0.108108
9.599177	0.109109
9.601416	0.110110
9.603655	0.111111
9.605894	0.112112
9.608133	0.113113
9.610372	0.114114
9.612611	0.115115
9.614850	0.116116
9.617089	0.117117
9.619328	0.118118
9.621567	0.119119
9.623806	0.120120
9.626045	0.121121
9.628284	0.122122
9.630523	0.123123
9.632763	0.124124
9.635002	0.125125
9.637241	0.126126
9.639480	0.127127
9.641719	0.128128
9.643958	0.129129
9.646197	0.130130
9.648436	0.131131
9.650675	0.132132
9.652914	0.133133
9.655153	0.134134
9.657392	0.135135
9.659631	0.136136
9.661870	0.137137
9.664109	0.138138
9.666348	0.139139
9.668587	0.140140
9.670826	0.141141
9.673065	0.142142
9.675304	0.143143
9.677544	0.144144
9.679783	0.145145
9.682022	0.146146
9.684261	0.147147
9.686500	0.148148
9.688739	0.149149
9.690978	0.150150
9.693217	0.151151
9.695456	0.152152
9.697664	0.153153
