Crank_Angle_(deg)	MFB_(%)
-0.670000	0.000000
9.044239	0.001001
9.119849	0.002002
9.167898	0.003003
9.206800	0.004004
9.232601	0.005005
9.248276	0.006006
9.260780	0.007007
9.273112	0.008008
9.285444	0.009009
9.297777	0.010010
9.310109	0.011011
9.319038	0.012012
9.327240	0.013013
9.335270	0.014014
9.343300	0.015015
9.351330	0.016016
9.359360	0.017017
9.367390	0.018018
9.375420	0.019019
9.383450	0.020020
9.389484	0.021021
9.394092	0.022022
9.398644	0.023023
9.403045	0.024024
9.407447	0.025025
9.411848	0.026026
9.416249	0.027027
9.420650	0.028028
9.425052	0.029029
9.429453	0.030030
9.433854	0.031031
9.438256	0.032032
9.442657	0.033033
9.447058	0.034034
9.451460	0.035035
9.455861	0.036036
9.460262	0.037037
9.464664	0.038038
9.468244	0.039039
9.471291	0.040040
9.474331	0.041041
9.477284	0.042042
9.480238	0.043043
9.483191	0.044044
9.486144	0.045045
9.489097	0.046046
9.492051	0.047047
9.495004	0.048048
9.497957	0.049049
9.500910	0.050050
9.503864	0.051051
9.506817	0.052052
9.509770	0.053053
9.512723	0.054054
9.515677	0.055055
9.518630	0.056056
9.521583	0.057057
9.524536	0.058058
9.527490	0.059059
9.530443	0.060060
9.533396	0.061061
9.536349	0.062062
9.539302	0.063063
9.542256	0.064064
9.545209	0.065065
9.548162	0.066066
9.551115	0.067067
9.553589	0.068068
9.555997	0.069069
9.558390	0.070070
9.560766	0.071071
9.563141	0.072072
9.565517	0.073073
9.567893	0.074074
9.570269	0.075075
9.572645	0.076076
9.575020	0.077077
9.577396	0.078078
9.579772	0.079079
9.582148	0.080080
9.584524	0.081081
9.586899	0.082082
9.589275	0.083083
9.591651	0.084084
9.594027	0.085085
9.596403	0.086086
9.598778	0.087087
9.601154	0.088088
9.603530	0.089089
9.605906	0.090090
9.608281	0.091091
9.610657	0.092092
9.613033	0.093093
9.615409	0.094094
9.617785	0.095095
9.620160	0.096096
9.622536	0.097097
9.624912	0.098098
9.627288	0.099099
9.629664	0.100100
9.632039	0.101101
9.634415	0.102102
9.636791	0.103103
9.638901	0.104104
9.640725	0.105105
9.642518	0.106106
9.644310	0.107107
9.646102	0.108108
9.647894	0.109109
9.649686	0.110110
9.651479	0.111111
9.653271	0.112112
9.655063	0.113113
9.656855	0.114114
9.658647	0.115115
9.660440	0.116116
9.662232	0.117117
9.664024	0.118118
9.665816	0.119119
9.667608	0.120120
9.669401	0.121121
9.671193	0.122122
9.672985	0.123123
9.674777	0.124124
9.676570	0.125125
9.678362	0.126126
9.680154	0.127127
9.681946	0.128128
9.683738	0.129129
9.685531	0.130130
9.687323	0.131131
9.689115	0.132132
9.690907	0.133133
9.692699	0.134134
9.694492	0.135135
9.696284	0.136136
9.698076	0.137137
9.699868	0.138138
9.701660	0.139139
9.703453	0.140140
9.705245	0.141141
9.707037	0.142142
9.708829	0.143143
9.710621	0.144144
9.712414	0.145145
9.714206	0.146146
9.715998	0.147147
9.717790	0.148148
9.719583	0.149149
9.721375	0.150150
9.723167	0.151151
9.724959	0.152152
9.726735	0.153153
9.728447	0.154154
9.729947	0.155155
9.731447	0.156156
9.732712	0.157157
