Case_1:
Converge_CFD
Output file : species_mass_region0.out
Phi : 0.6
SOC : 0

Crank(deg)	Mass_H2(kg)	Mass_O2(kg)	Mass_H2O(kg)	Mass_OH(kg)	
-3.7800000E+02	0.0000000E+00	1.9006708E-06	2.1401724E-06	0.0000000E+00	
-3.7789566E+02	0.0000000E+00	1.9002789E-06	2.1397311E-06	0.0000000E+00	
-3.7775938E+02	0.0000000E+00	1.8994999E-06	2.1388540E-06	0.0000000E+00	
-3.7766130E+02	0.0000000E+00	1.8989128E-06	2.1381929E-06	0.0000000E+00	
-3.7755269E+02	0.0000000E+00	1.8977621E-06	2.1368972E-06	0.0000000E+00	
-3.7749845E+02	0.0000000E+00	1.8970988E-06	2.1361503E-06	0.0000000E+00	
-3.7739009E+02	0.0000000E+00	1.8956057E-06	2.1344690E-06	0.0000000E+00	
-3.7728068E+02	0.0000000E+00	1.8938657E-06	2.1325098E-06	0.0000000E+00	
-3.7717123E+02	0.0000000E+00	1.8918973E-06	2.1302933E-06	0.0000000E+00	
-3.7706290E+02	0.0000000E+00	1.8896718E-06	2.1277874E-06	0.0000000E+00	
-3.7695462E+02	0.0000000E+00	1.8872966E-06	2.1251129E-06	0.0000000E+00	
-3.7684730E+02	0.0000000E+00	1.8847419E-06	2.1222364E-06	0.0000000E+00	
-3.7679346E+02	0.0000000E+00	1.8833898E-06	2.1207139E-06	0.0000000E+00	
-3.7669835E+02	0.0000000E+00	1.8809024E-06	2.1179130E-06	0.0000000E+00	
-3.7659121E+02	0.0000000E+00	1.8779162E-06	2.1145505E-06	0.0000000E+00	
-3.7648549E+02	0.0000000E+00	1.8748406E-06	2.1110874E-06	0.0000000E+00	
-3.7637486E+02	0.0000000E+00	1.8714771E-06	2.1073000E-06	0.0000000E+00	
-3.7626863E+02	0.0000000E+00	1.8681264E-06	2.1035271E-06	0.0000000E+00	
-3.7616281E+02	0.0000000E+00	1.8646882E-06	2.0996556E-06	0.0000000E+00	
-3.7605735E+02	0.0000000E+00	1.8612951E-06	2.0958350E-06	0.0000000E+00	
-3.7595353E+02	0.0000000E+00	1.8577784E-06	2.0918752E-06	0.0000000E+00	
-3.7584923E+02	0.0000000E+00	1.8541940E-06	2.0878391E-06	0.0000000E+00	
-3.7579781E+02	0.0000000E+00	1.8524131E-06	2.0858338E-06	0.0000000E+00	
-3.7569650E+02	0.0000000E+00	1.8488841E-06	2.0818601E-06	0.0000000E+00	
-3.7559239E+02	0.0000000E+00	1.8452361E-06	2.0777524E-06	0.0000000E+00	
-3.7545332E+02	0.0000000E+00	1.8404086E-06	2.0723166E-06	0.0000000E+00	
-3.7535211E+02	0.0000000E+00	1.8368378E-06	2.0682959E-06	0.0000000E+00	
-3.7525037E+02	0.0000000E+00	1.8332479E-06	2.0642536E-06	0.0000000E+00	
-3.7519895E+02	0.0000000E+00	1.8314335E-06	2.0622105E-06	0.0000000E+00	
-3.7509612E+02	0.0000000E+00	1.8278070E-06	2.0581271E-06	0.0000000E+00	
-3.7499608E+02	0.0000000E+00	1.8245270E-06	2.0544337E-06	0.0000000E+00	
-3.7489284E+02	0.0000000E+00	1.8208846E-06	2.0503325E-06	0.0000000E+00	
