Case_14:
Converge_CFD
Output file : species_mass_region0.out
Phi : 0.5
SOC : 10

Crank(deg)	Mass_H2(kg)	Mass_O2(kg)	Mass_H2O(kg)	Mass_OH(kg)	
-3.7800000E+02	0.0000000E+00	1.9009543E-06	2.1404916E-06	0.0000000E+00	
-3.7789566E+02	0.0000000E+00	1.9005571E-06	2.1400443E-06	0.0000000E+00	
-3.7779164E+02	0.0000000E+00	1.8999891E-06	2.1394048E-06	0.0000000E+00	
-3.7767173E+02	0.0000000E+00	1.8990104E-06	2.1383028E-06	0.0000000E+00	
-3.7758847E+02	0.0000000E+00	1.8980429E-06	2.1372134E-06	0.0000000E+00	
-3.7748438E+02	0.0000000E+00	1.8967228E-06	2.1357269E-06	0.0000000E+00	
-3.7736316E+02	0.0000000E+00	1.8948961E-06	2.1336700E-06	0.0000000E+00	
-3.7724279E+02	0.0000000E+00	1.8928113E-06	2.1313226E-06	0.0000000E+00	
-3.7711760E+02	0.0000000E+00	1.8903571E-06	2.1285590E-06	0.0000000E+00	
-3.7699215E+02	0.0000000E+00	1.8876325E-06	2.1254911E-06	0.0000000E+00	
-3.7687076E+02	0.0000000E+00	1.8847505E-06	2.1222460E-06	0.0000000E+00	
-3.7676516E+02	0.0000000E+00	1.8820805E-06	2.1192396E-06	0.0000000E+00	
-3.7664451E+02	0.0000000E+00	1.8788202E-06	2.1155685E-06	0.0000000E+00	
-3.7652349E+02	0.0000000E+00	1.8753699E-06	2.1116833E-06	0.0000000E+00	
-3.7640248E+02	0.0000000E+00	1.8716284E-06	2.1074704E-06	0.0000000E+00	
-3.7628281E+02	0.0000000E+00	1.8679329E-06	2.1033092E-06	0.0000000E+00	
-3.7616185E+02	0.0000000E+00	1.8640880E-06	2.0989798E-06	0.0000000E+00	
-3.7604090E+02	0.0000000E+00	1.8601543E-06	2.0945504E-06	0.0000000E+00	
-3.7592120E+02	0.0000000E+00	1.8561902E-06	2.0900869E-06	0.0000000E+00	
-3.7580030E+02	0.0000000E+00	1.8521330E-06	2.0855184E-06	0.0000000E+00	
-3.7567942E+02	0.0000000E+00	1.8480385E-06	2.0809080E-06	0.0000000E+00	
-3.7555855E+02	0.0000000E+00	1.8439224E-06	2.0762732E-06	0.0000000E+00	
-3.7544048E+02	0.0000000E+00	1.8398949E-06	2.0717382E-06	0.0000000E+00	
-3.7532720E+02	0.0000000E+00	1.8360123E-06	2.0673663E-06	0.0000000E+00	
