Crank_Angle_(deg)	MFB_(%)
-0.280000	0.000000
9.564189	0.001001
9.597151	0.002002
9.630113	0.003003
9.663074	0.004004
9.668741	0.005005
9.669710	0.006006
9.670679	0.007007
9.671647	0.008008
9.672616	0.009009
9.673585	0.010010
9.674553	0.011011
9.675522	0.012012
9.676491	0.013013
9.677459	0.014014
9.678428	0.015015
9.679396	0.016016
9.680365	0.017017
9.681334	0.018018
9.682302	0.019019
9.683271	0.020020
9.684240	0.021021
9.685208	0.022022
9.686177	0.023023
9.687146	0.024024
9.688114	0.025025
9.689083	0.026026
9.690052	0.027027
9.691020	0.028028
9.691989	0.029029
9.692958	0.030030
9.693926	0.031031
9.694895	0.032032
9.695864	0.033033
9.696832	0.034034
9.697801	0.035035
9.698770	0.036036
9.699738	0.037037
9.700707	0.038038
9.701676	0.039039
9.702644	0.040040
9.703613	0.041041
9.704581	0.042042
9.705550	0.043043
9.706519	0.044044
9.707487	0.045045
9.708456	0.046046
9.709425	0.047047
9.710393	0.048048
9.711362	0.049049
9.712331	0.050050
9.713299	0.051051
9.714268	0.052052
9.715237	0.053053
9.716205	0.054054
9.717174	0.055055
9.718143	0.056056
9.719111	0.057057
9.720080	0.058058
9.721049	0.059059
9.722017	0.060060
9.722986	0.061061
9.723955	0.062062
9.724923	0.063063
9.725892	0.064064
9.726860	0.065065
9.727829	0.066066
9.728798	0.067067
9.729762	0.068068
9.730685	0.069069
9.731607	0.070070
9.732529	0.071071
9.733452	0.072072
9.734374	0.073073
9.735296	0.074074
9.736219	0.075075
9.737141	0.076076
9.738064	0.077077
9.738986	0.078078
9.739908	0.079079
9.740831	0.080080
9.741753	0.081081
9.742676	0.082082
9.743598	0.083083
9.744520	0.084084
9.745443	0.085085
9.746365	0.086086
9.747288	0.087087
9.748210	0.088088
9.749132	0.089089
9.750055	0.090090
9.750977	0.091091
9.751900	0.092092
9.752822	0.093093
9.753744	0.094094
9.754667	0.095095
9.755589	0.096096
9.756511	0.097097
9.757434	0.098098
9.758356	0.099099
9.759279	0.100100
9.760201	0.101101
9.761123	0.102102
9.762046	0.103103
9.762968	0.104104
9.763891	0.105105
9.764813	0.106106
9.765735	0.107107
9.766658	0.108108
9.767580	0.109109
9.768503	0.110110
9.769425	0.111111
9.770347	0.112112
9.771270	0.113113
9.772192	0.114114
9.773115	0.115115
9.774037	0.116116
9.774959	0.117117
9.775882	0.118118
9.776804	0.119119
9.777727	0.120120
9.778649	0.121121
9.779571	0.122122
9.780494	0.123123
9.781416	0.124124
9.782338	0.125125
9.783261	0.126126
9.784183	0.127127
9.785106	0.128128
9.786028	0.129129
9.786950	0.130130
9.787873	0.131131
9.788795	0.132132
9.789718	0.133133
9.790640	0.134134
9.791562	0.135135
9.792485	0.136136
9.793407	0.137137
9.794330	0.138138
9.795252	0.139139
9.796174	0.140140
9.797097	0.141141
9.798019	0.142142
9.798942	0.143143
9.799864	0.144144
