Crank_Angle_(deg)	MFB_(%)
0.000000	0.000000
0.140140	0.000055
0.280280	0.000137
0.420420	0.000276
0.560561	0.000618
0.700701	0.001227
0.840841	0.002804
0.980981	0.006287
1.121121	0.012640
1.261261	0.022753
1.401401	0.040965
1.541542	0.069629
1.681682	0.105083
1.821822	0.152261
1.961962	0.210056
2.102102	0.282527
2.242242	0.486045
2.382382	0.839719
2.522523	0.973452
2.662663	0.988350
2.802803	0.992158
2.942943	0.992567
3.083083	0.993894
3.223223	0.994725
3.363363	0.995122
3.503504	0.995167
3.643644	0.995212
3.783784	0.995283
3.923924	0.995283
4.064064	0.995283
4.204204	0.995283
4.344344	0.995283
4.484484	0.995498
4.624625	0.995752
4.764765	0.995824
4.904905	0.995883
5.045045	0.995945
5.185185	0.995962
5.325325	0.995962
5.465465	0.995962
5.605606	0.995963
5.745746	0.996099
5.885886	0.996333
6.026026	0.996428
6.166166	0.996497
6.306306	0.996564
6.446446	0.996598
6.586587	0.996598
6.726727	0.996598
6.866867	0.996598
7.007007	0.996701
7.147147	0.996844
7.287287	0.996915
7.427427	0.996993
7.567568	0.997055
7.707708	0.997125
7.847848	0.997128
7.987988	0.997128
8.128128	0.997129
8.268268	0.997181
8.408408	0.997298
8.548549	0.997364
8.688689	0.997417
8.828829	0.997463
8.968969	0.997512
9.109109	0.997564
9.249249	0.997569
9.389389	0.997579
9.529530	0.997610
9.669670	0.997677
9.809810	0.997748
9.949950	0.997795
10.090090	0.997831
10.230230	0.997858
10.370370	0.997908
10.510511	0.997949
10.650651	0.997966
10.790791	0.997980
10.930931	0.998008
11.071071	0.998063
11.211211	0.998117
11.351351	0.998151
11.491491	0.998171
11.631632	0.998198
11.771772	0.998243
11.911912	0.998277
12.052052	0.998293
12.192192	0.998303
12.332332	0.998331
12.472472	0.998377
12.612613	0.998419
12.752753	0.998443
12.892893	0.998458
13.033033	0.998484
13.173173	0.998519
13.313313	0.998545
13.453453	0.998556
13.593594	0.998565
13.733734	0.998591
13.873874	0.998628
14.014014	0.998660
14.154154	0.998679
14.294294	0.998695
14.434434	0.998717
14.574575	0.998743
14.714715	0.998762
14.854855	0.998771
14.994995	0.998782
15.135135	0.998803
15.275275	0.998832
