# CONVERGE 4.0.3/  Aug  6 2024       Run Date:Wed Jun  4 14:16:41 2025
# column        1                2                3                4                5                6                7                8                9               10               11               12               13
#           Crank               AR               N2               HE               H2                H               O2                O              H2O               OH              OHV             H2O2              HO2
#           (DEG)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)
#
   -3.7800000e+02    0.0000000e+00    1.2728178e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9009543e-06    0.0000000e+00    2.1404916e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7789566e+02    0.0000000e+00    1.2725519e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9005571e-06    0.0000000e+00    2.1400443e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7779164e+02    0.0000000e+00    1.2721715e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.8999891e-06    0.0000000e+00    2.1394048e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7767173e+02    0.0000000e+00    1.2715163e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.8990104e-06    0.0000000e+00    2.1383028e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7758847e+02    0.0000000e+00    1.2708685e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.8980429e-06    0.0000000e+00    2.1372134e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7748438e+02    0.0000000e+00    1.2699846e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.8967228e-06    0.0000000e+00    2.1357269e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7737043e+02    0.0000000e+00    1.2688471e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.8950240e-06    0.0000000e+00    2.1338141e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7725729e+02    0.0000000e+00    1.2675570e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.8930972e-06    0.0000000e+00    2.1316445e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7713518e+02    0.0000000e+00    1.2659796e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.8907414e-06    0.0000000e+00    2.1289918e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7700976e+02    0.0000000e+00    1.2641798e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.8880533e-06    0.0000000e+00    2.1259650e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
