# CONVERGE 4.0.3/  Aug  6 2024       Run Date:Wed Jun  4 14:16:41 2025
# column        1                2                3                4                5
#           Crank         CHEM_SRC    CHEM_SRC_Mean  CHEM_SRC_StdDev       Total_Mass
#           (DEG)     (J/s/m^3*kg) (J/s/m^3*kg/m^3) (J/s/m^3*kg/m^3)             (kg)
#
   -3.7800000e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.3012257e-05
   -3.7789566e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.3006691e-05
   -3.7779164e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2996708e-05
   -3.7767173e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2986575e-05
   -3.7758847e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2980668e-05
   -3.7748438e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2973856e-05
   -3.7737043e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2966619e-05
   -3.7725729e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2959416e-05
   -3.7713518e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2951527e-05
   -3.7700976e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2943405e-05
   -3.7689565e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2936055e-05
   -3.7679129e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2929399e-05
   -3.7667790e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2922298e-05
   -3.7656508e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2915341e-05
   -3.7645116e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2908405e-05
   -3.7633867e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2901605e-05
   -3.7622478e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2894750e-05
   -3.7611091e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2887910e-05
   -3.7599912e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2881198e-05
   -3.7588773e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2874502e-05
   -3.7577390e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2867632e-05
   -3.7566008e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2860707e-05
   -3.7554903e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2853872e-05
   -3.7543833e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2846956e-05
   -3.7532455e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2839710e-05
   -3.7521357e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2832473e-05
   -3.7510701e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2825344e-05
   -3.7500170e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2818113e-05
   -3.7490193e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2811078e-05
   -3.7479720e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2803492e-05
   -3.7469673e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2796011e-05
   -3.7450442e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2781140e-05
   -3.7440179e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2772920e-05
   -3.7430653e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2765118e-05
   -3.7421619e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2757577e-05
   -3.7411819e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2749264e-05
   -3.7402543e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2741271e-05
   -3.7393180e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2733102e-05
   -3.7384477e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2725431e-05
   -3.7375502e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2717462e-05
   -3.7366898e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2709778e-05
   -3.7358589e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2702329e-05
   -3.7342594e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2687958e-05
   -3.7335094e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2681231e-05
   -3.7327736e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2674656e-05
   -3.7313360e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2661919e-05
   -3.7306374e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2655797e-05
   -3.7298841e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2649269e-05
   -3.7284124e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2636774e-05
   -3.7276881e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2630786e-05
   -3.7269690e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2624967e-05
   -3.7255758e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2614103e-05
   -3.7248865e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2608957e-05
   -3.7235306e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2599359e-05
   -3.7228645e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2594930e-05
   -3.7214794e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2586410e-05
   -3.7207415e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2582279e-05
   -3.7193006e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2575059e-05
   -3.7185884e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2571937e-05
   -3.7178847e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2569156e-05
   -3.7164463e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2564435e-05
   -3.7157319e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2562562e-05
   -3.7142888e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2559758e-05
   -3.7135787e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2558916e-05
   -3.7128805e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2558416e-05
   -3.7114321e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2558334e-05
   -3.7106775e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2558736e-05
   -3.7099332e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2559376e-05
   -3.7084232e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2561299e-05
   -3.7076634e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2562536e-05
   -3.7068879e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2563953e-05
   -3.7054081e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2567019e-05
   -3.7047031e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2568615e-05
   -3.7039937e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2570299e-05
   -3.7025512e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2573932e-05
   -3.7018208e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2575864e-05
   -3.7003582e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2579881e-05
   -3.6996265e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2581960e-05
   -3.6988273e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2584285e-05
   -3.6972126e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2589192e-05
   -3.6963994e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2591775e-05
   -3.6955827e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2594452e-05
   -3.6947773e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2597178e-05
   -3.6939719e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2600001e-05
   -3.6923110e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2606180e-05
   -3.6914643e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2609537e-05
   -3.6906250e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2613014e-05
   -3.6897735e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2616700e-05
   -3.6888997e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2620662e-05
   -3.6879825e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2625027e-05
   -3.6861551e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    6.2634372e-05
