# CONVERGE 4.0.3/  Aug  6 2024       Run Date:Wed Jun  4 14:16:41 2025
# column        1                2                3                4                5                6                7                8                9               10               11               12               13
#           Crank               AR               N2               HE               H2                H               O2                O              H2O               OH              OHV             H2O2              HO2
#           (DEG)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)
#
   -3.7521357e+02    0.0000000e+00    7.4186993e-05    0.0000000e+00    1.6203217e-06    0.0000000e+00    1.8330320e-05    0.0000000e+00    4.5804791e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7510701e+02    0.0000000e+00    7.4151702e-05    0.0000000e+00    1.6201378e-06    0.0000000e+00    1.8324226e-05    0.0000000e+00    4.5754401e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7500170e+02    0.0000000e+00    7.4114799e-05    0.0000000e+00    1.6199514e-06    0.0000000e+00    1.8317881e-05    0.0000000e+00    4.5701428e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7490193e+02    0.0000000e+00    7.4078104e-05    0.0000000e+00    1.6197699e-06    0.0000000e+00    1.8311588e-05    0.0000000e+00    4.5648557e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7479720e+02    0.0000000e+00    7.4037780e-05    0.0000000e+00    1.6195743e-06    0.0000000e+00    1.8304691e-05    0.0000000e+00    4.5590277e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7469673e+02    0.0000000e+00    7.3997530e-05    0.0000000e+00    1.6193814e-06    0.0000000e+00    1.8297816e-05    0.0000000e+00    4.5531989e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7450442e+02    0.0000000e+00    7.3916567e-05    0.0000000e+00    1.6189979e-06    0.0000000e+00    1.8284008e-05    0.0000000e+00    4.5414521e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7440179e+02    0.0000000e+00    7.3871427e-05    0.0000000e+00    1.6187859e-06    0.0000000e+00    1.8276318e-05    0.0000000e+00    4.5348938e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7430653e+02    0.0000000e+00    7.3828525e-05    0.0000000e+00    1.6185847e-06    0.0000000e+00    1.8269010e-05    0.0000000e+00    4.5286596e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7421619e+02    0.0000000e+00    7.3787053e-05    0.0000000e+00    1.6183903e-06    0.0000000e+00    1.8261946e-05    0.0000000e+00    4.5226328e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7411819e+02    0.0000000e+00    7.3741289e-05    0.0000000e+00    1.6181759e-06    0.0000000e+00    1.8254152e-05    0.0000000e+00    4.5159813e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7402543e+02    0.0000000e+00    7.3697379e-05    0.0000000e+00    1.6179698e-06    0.0000000e+00    1.8246672e-05    0.0000000e+00    4.5096013e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7393180e+02    0.0000000e+00    7.3652592e-05    0.0000000e+00    1.6177591e-06    0.0000000e+00    1.8239040e-05    0.0000000e+00    4.5030960e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7384477e+02    0.0000000e+00    7.3610661e-05    0.0000000e+00    1.6175613e-06    0.0000000e+00    1.8231893e-05    0.0000000e+00    4.4970085e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7375502e+02    0.0000000e+00    7.3567212e-05    0.0000000e+00    1.6173558e-06    0.0000000e+00    1.8224484e-05    0.0000000e+00    4.4907030e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7366898e+02    0.0000000e+00    7.3525467e-05    0.0000000e+00    1.6171576e-06    0.0000000e+00    1.8217363e-05    0.0000000e+00    4.4846484e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7358589e+02    0.0000000e+00    7.3485159e-05    0.0000000e+00    1.6169655e-06    0.0000000e+00    1.8210483e-05    0.0000000e+00    4.4788058e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7342594e+02    0.0000000e+00    7.3407868e-05    0.0000000e+00    1.6165949e-06    0.0000000e+00    1.8197281e-05    0.0000000e+00    4.4676136e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7335094e+02    0.0000000e+00    7.3371886e-05    0.0000000e+00    1.6164214e-06    0.0000000e+00    1.8191131e-05    0.0000000e+00    4.4624080e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7327736e+02    0.0000000e+00    7.3336832e-05    0.0000000e+00    1.6162519e-06    0.0000000e+00    1.8185137e-05    0.0000000e+00    4.4573391e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7313360e+02    0.0000000e+00    7.3269237e-05    0.0000000e+00    1.6159234e-06    0.0000000e+00    1.8173572e-05    0.0000000e+00    4.4475723e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7306374e+02    0.0000000e+00    7.3236900e-05    0.0000000e+00    1.6157656e-06    0.0000000e+00    1.8168036e-05    0.0000000e+00    4.4429033e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7298841e+02    0.0000000e+00    7.3202497e-05    0.0000000e+00    1.6155972e-06    0.0000000e+00    1.8162145e-05    0.0000000e+00    4.4379381e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7284124e+02    0.0000000e+00    7.3136779e-05    0.0000000e+00    1.6152750e-06    0.0000000e+00    1.8150888e-05    0.0000000e+00    4.4284564e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7276881e+02    0.0000000e+00    7.3105251e-05    0.0000000e+00    1.6151206e-06    0.0000000e+00    1.8145488e-05    0.0000000e+00    4.4239070e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7269690e+02    0.0000000e+00    7.3074541e-05    0.0000000e+00    1.6149705e-06    0.0000000e+00    1.8140230e-05    0.0000000e+00    4.4194737e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7255758e+02    0.0000000e+00    7.3016822e-05    0.0000000e+00    1.6146904e-06    0.0000000e+00    1.8130356e-05    0.0000000e+00    4.4111322e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7248865e+02    0.0000000e+00    7.2989198e-05    0.0000000e+00    1.6145577e-06    0.0000000e+00    1.8125637e-05    0.0000000e+00    4.4071335e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7235306e+02    0.0000000e+00    7.2936795e-05    0.0000000e+00    1.6143101e-06    0.0000000e+00    1.8116703e-05    0.0000000e+00    4.3995269e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7228645e+02    0.0000000e+00    7.2912036e-05    0.0000000e+00    1.6141959e-06    0.0000000e+00    1.8112494e-05    0.0000000e+00    4.3959197e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7214794e+02    0.0000000e+00    7.2862789e-05    0.0000000e+00    1.6139762e-06    0.0000000e+00    1.8104156e-05    0.0000000e+00    4.3887086e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
