# CONVERGE 4.0.3/  Aug  6 2024       Run Date:Wed Jun  4 14:16:41 2025
# column        1                2                3                4                5                6                7                8                9               10               11
#           Crank      Lambda_Mean    Lambda_StdDev         Phi_Mean       Phi_StdDev    Rct_Lmda_Mean  Rct_Lmda_StdDev     Rct_Phi_Mean   Rct_Phi_StdDev         NOT_USED         NOT_USED
#           (DEG)           (none)           (none)           (none)           (none)           (none)           (none)           (none)           (none)           (none)           (none)
#
   -3.7800000e+02    1.9999929e+00    4.8202757e-09    5.0000178e-01    1.2050775e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7789566e+02    1.9999929e+00    4.8246237e-09    5.0000178e-01    1.2061645e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7779164e+02    1.9999929e+00    4.8123511e-09    5.0000178e-01    1.2030963e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7767173e+02    1.9999929e+00    4.8376576e-09    5.0000178e-01    1.2094230e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7758847e+02    1.9999929e+00    4.8328176e-09    5.0000178e-01    1.2082130e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7748438e+02    1.9999929e+00    4.8373724e-09    5.0000178e-01    1.2093517e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7737043e+02    1.9999929e+00    4.8962462e-09    5.0000178e-01    1.2240703e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7725729e+02    1.9999929e+00    4.9781630e-09    5.0000178e-01    1.2445496e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7713518e+02    1.9999929e+00    4.9988884e-09    5.0000178e-01    1.2497310e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7700976e+02    1.9999929e+00    5.0439963e-09    5.0000178e-01    1.2610080e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7689565e+02    1.9999929e+00    5.0846781e-09    5.0000178e-01    1.2711786e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7679129e+02    1.9999929e+00    5.1152539e-09    5.0000178e-01    1.2788226e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7667790e+02    1.9999929e+00    5.1333235e-09    5.0000178e-01    1.2833400e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7656508e+02    1.9999929e+00    5.1579488e-09    5.0000178e-01    1.2894963e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7645116e+02    1.9999929e+00    5.1673171e-09    5.0000178e-01    1.2918384e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7633867e+02    1.9999929e+00    5.1713775e-09    5.0000178e-01    1.2928536e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7622478e+02    1.9999929e+00    5.1825554e-09    5.0000178e-01    1.2956480e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7611091e+02    1.9999929e+00    5.1940446e-09    5.0000178e-01    1.2985204e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7599912e+02    1.9999929e+00    5.2054539e-09    5.0000178e-01    1.3013727e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7588773e+02    1.9999929e+00    5.2087860e-09    5.0000178e-01    1.3022058e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7577390e+02    1.9999929e+00    5.2100764e-09    5.0000178e-01    1.3025283e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7566008e+02    1.9999929e+00    5.1612679e-09    5.0000178e-01    1.2903261e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7554903e+02    1.9999929e+00    5.1665187e-09    5.0000178e-01    1.2916389e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7543833e+02    1.9999929e+00    5.1674142e-09    5.0000178e-01    1.2918627e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7532455e+02    1.9999929e+00    5.2341337e-09    5.0000178e-01    1.3085427e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7521357e+02    1.9999929e+00    5.2450270e-09    5.0000178e-01    1.3112661e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7510701e+02    1.9999929e+00    5.2499897e-09    5.0000178e-01    1.3125067e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7500170e+02    1.9999929e+00    5.2554359e-09    5.0000178e-01    1.3138683e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7490193e+02    1.9999929e+00    5.2564844e-09    5.0000178e-01    1.3141304e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7479720e+02    1.9999929e+00    5.2612173e-09    5.0000178e-01    1.3153137e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7469673e+02    1.9999929e+00    5.2651459e-09    5.0000178e-01    1.3162958e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7450442e+02    1.9999929e+00    5.2862893e-09    5.0000178e-01    1.3215817e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7440179e+02    1.9999929e+00    5.2942025e-09    5.0000178e-01    1.3235600e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7430653e+02    1.9999929e+00    5.2731028e-09    5.0000178e-01    1.3182851e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7421619e+02    1.9999929e+00    5.2919785e-09    5.0000178e-01    1.3230040e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7411819e+02    1.9999929e+00    5.2975684e-09    5.0000178e-01    1.3244015e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7402543e+02    1.9999929e+00    5.3037607e-09    5.0000178e-01    1.3259496e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7393180e+02    1.9999929e+00    5.3756789e-09    5.0000178e-01    1.3439293e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7384477e+02    1.9999929e+00    5.4065151e-09    5.0000178e-01    1.3516384e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7375502e+02    1.9999929e+00    5.4192330e-09    5.0000178e-01    1.3548179e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7366898e+02    1.9999929e+00    5.4252893e-09    5.0000178e-01    1.3563319e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7358589e+02    1.9999929e+00    5.4340377e-09    5.0000178e-01    1.3585191e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7342594e+02    1.9999929e+00    5.4386857e-09    5.0000178e-01    1.3596811e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7335094e+02    1.9999929e+00    5.4398572e-09    5.0000178e-01    1.3599739e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7327736e+02    1.9999929e+00    5.4461934e-09    5.0000178e-01    1.3615580e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7313360e+02    1.9999929e+00    5.4506007e-09    5.0000178e-01    1.3626598e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7306374e+02    1.9999929e+00    5.4527572e-09    5.0000178e-01    1.3631990e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7298841e+02    1.9999929e+00    5.4623843e-09    5.0000178e-01    1.3656058e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7284124e+02    1.9999929e+00    5.4527148e-09    5.0000178e-01    1.3631884e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7276881e+02    1.9999929e+00    5.4581931e-09    5.0000178e-01    1.3645580e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7269690e+02    1.9999929e+00    5.4557605e-09    5.0000178e-01    1.3639498e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7255758e+02    1.9999929e+00    5.4605309e-09    5.0000178e-01    1.3651424e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7248865e+02    1.9999929e+00    5.4613217e-09    5.0000178e-01    1.3653401e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7235306e+02    1.9999929e+00    5.4466689e-09    5.0000178e-01    1.3616769e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7228645e+02    1.9999929e+00    5.4608583e-09    5.0000178e-01    1.3652243e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7214794e+02    1.9999929e+00    5.4719479e-09    5.0000178e-01    1.3679967e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7207415e+02    1.9999929e+00    5.4930230e-09    5.0000178e-01    1.3732655e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7193006e+02    1.9999929e+00    5.4983117e-09    5.0000178e-01    1.3745877e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
