# CONVERGE 4.0.3/  Aug  6 2024       Run Date:Wed Jun  4 14:16:41 2025
# column        1                2                3                4
#           Crank    subgrid_scale    subgrid_scale    subgrid_scale
#           (DEG)         VELOCITY      TEMPERATURE         VELOCITY
#          (none)         Region_0         Region_0         Region_1
   -3.7799880e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7799730e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7799543e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7799308e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7799015e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7798649e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7798191e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7797619e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7796904e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7796010e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7794892e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7793495e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7791749e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7789566e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7786838e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7783427e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7779164e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7773835e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7767173e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7758847e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7748438e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7737043e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7725729e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7713518e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7700976e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7689565e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7679129e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7667790e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7656508e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7645116e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7633867e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7622478e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7611091e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7599912e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7588773e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7577390e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7566008e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7554903e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7543833e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7532455e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7521357e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7510701e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7500170e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7490193e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7479720e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7469673e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7460057e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7450442e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7440179e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7430653e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7421619e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7411819e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7402543e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7393180e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
   -3.7384477e+02    1.0000000e+00   -1.0000000e+00    1.0000000e+00
