# CONVERGE 4.0.3/  Aug  6 2024       Run Date:Wed Jun  4 14:16:41 2025
# column        1                2                3                4                5
#           Crank      Total_Cells          Region1          Region0          Region2
#           (DEG)           (none)           (none)           (none)           (none)
#
   -2.0124657e+02           614595           127847           448834            37914
   -2.0116340e+02           615153           127827           449420            37906
   -2.0105944e+02           615441           127776           449754            37911
   -2.0097689e+02           615688           127768           450004            37916
   -2.0089374e+02           615936           127770           450255            37911
   -2.0079601e+02           616179           127729           450541            37909
   -2.0060895e+02           616736           127723           451096            37917
   -2.0052581e+02           617031           127732           451386            37913
   -2.0044266e+02           617296           127720           451660            37916
   -2.0035950e+02           617510           127671           451927            37912
   -2.0026806e+02           618330           127577           452843            37910
   -2.0018492e+02           618588           127554           453118            37916
   -2.0001980e+02           619079           127518           453649            37912
   -1.9993723e+02           619441           127520           454008            37913
   -1.9985465e+02           619732           127530           454289            37913
   -1.9976336e+02           619984           127485           454587            37912
   -1.9968023e+02           620260           127478           454867            37915
   -1.9958879e+02           620524           127454           455160            37910
   -1.9942250e+02           602384           124091           440380            37913
   -1.9933086e+02           602865           124235           440714            37916
   -1.9921956e+02           603145           124183           441046            37916
   -1.9912142e+02           603423           124146           441364            37913
   -1.9903828e+02           603724           124175           441634            37915
   -1.9895512e+02           604042           124146           441983            37913
   -1.9886388e+02           605149           124820           442418            37911
   -1.9878133e+02           605605           124785           442903            37917
   -1.9869818e+02           605807           124749           443146            37912
   -1.9852408e+02           606260           124539           443812            37909
   -1.9844093e+02           606463           124498           444053            37912
   -1.9835837e+02           606688           124500           444276            37912
   -1.9827520e+02           606911           124500           444495            37916
   -1.9819202e+02           607072           124473           444689            37910
   -1.9802563e+02           607713           124407           445394            37912
   -1.9792163e+02           608028           124381           445735            37912
   -1.9782372e+02           608310           124377           446024            37909
   -1.9773219e+02           608547           124380           446255            37912
   -1.9764962e+02           608765           124336           446516            37913
   -1.9756645e+02           609375           124334           447128            37913
   -1.9748386e+02           609558           124291           447357            37910
   -1.9731806e+02           609877           124196           447770            37911
   -1.9722651e+02           590883           119232           433741            37910
   -1.9714393e+02           591308           119420           433972            37916
   -1.9706074e+02           591521           119422           434186            37913
   -1.9695677e+02           591685           119341           434427            37917
   -1.9686527e+02           591871           119325           434630            37916
   -1.9678209e+02           592053           119261           434882            37910
   -1.9669890e+02           592193           119231           435051            37911
   -1.9653308e+02           592559           119204           435441            37914
   -1.9644986e+02           592708           119180           435616            37912
   -1.9635163e+02           592875           119136           435827            37912
   -1.9626844e+02           593045           119136           435995            37914
   -1.9616445e+02           594035           119114           437010            37911
   -1.9608184e+02           594248           119161           437175            37912
   -1.9599923e+02           594463           119169           437383            37911
   -1.9589596e+02           594637           119096           437632            37909
   -1.9570875e+02           594948           119006           438031            37911
   -1.9562555e+02           595148           119007           438229            37912
   -1.9552154e+02           595363           118966           438485            37912
   -1.9542999e+02           595695           118993           438788            37914
   -1.9534678e+02           595917           118970           439036            37911
   -1.9526355e+02           596085           118961           439213            37911
   -1.9516587e+02           596213           118908           439390            37915
   -1.9508265e+02           596386           118914           439559            37913
   -1.9498489e+02           575487           111038           426538            37911
   -1.9489349e+02           575861           111247           426698            37916
   -1.9472704e+02           576168           111269           426983            37916
   -1.9464379e+02           576345           111275           427157            37913
   -1.9456054e+02           576489           111259           427319            37911
   -1.9447788e+02           576610           111246           427452            37912
   -1.9437978e+02           577011           111229           427871            37911
   -1.9429656e+02           577175           111243           428022            37910
   -1.9419834e+02           577349           111213           428229            37907
   -1.9408697e+02           577520           110935           428673            37912
   -1.9392050e+02           577765           110900           428955            37910
   -1.9382236e+02           577874           110836           429126            37912
   -1.9373913e+02           577996           110818           429267            37911
   -1.9365589e+02           578114           110791           429410            37913
   -1.9357264e+02           578290           110809           429572            37909
   -1.9346859e+02           578456           110777           429766            37913
   -1.9338596e+02           578663           110778           429974            37911
   -1.9319868e+02           579269           110736           430626            37907
   -1.9303222e+02           580107           110703           431489            37915
   -1.9294898e+02           580297           110696           431689            37912
   -1.9285113e+02           580510           110720           431880            37910
   -1.9276791e+02           557044            98679           420455            37910
   -1.9266999e+02           557591            98984           420691            37916
   -1.9258677e+02           557753            98948           420888            37917
   -1.9242031e+02           558213            98925           421371            37917
   -1.9233707e+02           558370            98851           421610            37909
   -1.9225382e+02           558457            98815           421731            37911
   -1.9217057e+02           558597            98821           421861            37915
   -1.9208731e+02           558705            98817           421974            37914
   -1.9192077e+02           558995            98793           422287            37915
   -1.9183749e+02           559124            98805           422411            37908
   -1.9175420e+02           559224            98776           422539            37909
   -1.9167152e+02           559319            98757           422650            37912
   -1.9156816e+02           559447            98745           422789            37913
   -1.9148556e+02           559562            98634           423017            37911
   -1.9129835e+02           559784            98598           423273            37913
   -1.9111115e+02           560007            98562           423535            37910
   -1.9099982e+02           560122            98517           423692            37913
   -1.9081705e+02           560509            98574           424023            37912
   -1.9073445e+02           560719            98564           424242            37913
   -1.9065125e+02           560940            98527           424499            37914
   -1.9056863e+02           536043            83788           414345            37910
   -1.9048541e+02           536483            84069           414500            37914
   -1.9031955e+02           536628            84045           414667            37916
   -1.9023632e+02           536698            84033           414751            37914
   -1.9015307e+02           537451            84702           414836            37913
   -1.9006982e+02           537776            84678           415186            37912
   -1.8998656e+02           537850            84667           415268            37915
   -1.8982063e+02           537971            84617           415442            37912
   -1.8973736e+02           538028            84357           415760            37911
   -1.8965469e+02           538099            84336           415853            37910
   -1.8957202e+02           538139            84295           415933            37911
   -1.8948934e+02           538204            84270           416021            37913
   -1.8930329e+02           538318            84211           416197            37910
   -1.8920529e+02           538572            84174           416486            37912
   -1.8911369e+02           538663            84151           416600            37912
   -1.8902202e+02           538783            84131           416740            37912
   -1.8893881e+02           539227            84109           417206            37912
   -1.8884068e+02           539300            84045           417339            37916
   -1.8875748e+02           539363            84017           417436            37910
   -1.8867486e+02           539398            83985           417501            37912
   -1.8857662e+02           539478            83960           417607            37911
   -1.8849340e+02           539533            83941           417681            37911
   -1.8831891e+02           519358            74058           407387            37913
   -1.8823568e+02           519411            74047           407448            37916
   -1.8815245e+02           519448            74025           407508            37915
   -1.8806921e+02           519485            73988           407583            37914
   -1.8798596e+02           519520            73940           407671            37909
   -1.8780470e+02           519601            73861           407826            37914
   -1.8772148e+02           519625            73835           407877            37913
   -1.8761745e+02           520525            73863           408750            37912
   -1.8753481e+02           520571            73850           408808            37913
   -1.8745158e+02           520580            73806           408865            37909
   -1.8736014e+02           520623            73762           408950            37911
   -1.8726218e+02           520648            73713           409021            37914
   -1.8717060e+02           520667            73681           409077            37909
   -1.8708737e+02           520734            73640           409183            37911
   -1.8692206e+02           520806            73596           409298            37912
   -1.8681873e+02           520838            73571           409356            37911
   -1.8673609e+02           520855            73526           409416            37913
   -1.8665284e+02           520895            73497           409485            37913
   -1.8655497e+02           520930            73468           409549            37913
   -1.8647232e+02           520939            73435           409592            37912
   -1.8638966e+02           520947            73389           409641            37917
   -1.8622373e+02           507794            69635           400246            37913
   -1.8614045e+02           508016            69709           400390            37917
   -1.8605717e+02           508020            69681           400429            37910
   -1.8597448e+02           508025            69641           400473            37911
   -1.8589179e+02           508077            69633           400530            37914
   -1.8572519e+02           508138            69592           400635            37911
   -1.8564188e+02           508173            69579           400682            37912
   -1.8555857e+02           508181            69543           400727            37911
   -1.8546700e+02           508205            69509           400780            37916
   -1.8538436e+02           508211            69247           401056            37908
   -1.8528105e+02           508257            69237           401107            37913
   -1.8519841e+02           508296            69230           401155            37911
   -1.8501704e+02           508356            69159           401287            37910
   -1.8492532e+02           508396            69150           401332            37914
   -1.8484267e+02           508445            69136           401398            37911
   -1.8476003e+02           508452            69100           401442            37910
   -1.8466838e+02           508729            69080           401736            37913
   -1.8457666e+02           508721            69044           401767            37910
   -1.8449402e+02           508751            68985           401855            37911
   -1.8439595e+02           508778            68972           401893            37913
   -1.8422105e+02           508832            68938           401980            37914
   -1.8412285e+02           508867            68923           402035            37909
   -1.8403963e+02           497689            66959           392817            37913
   -1.8395639e+02           497801            66964           392923            37914
   -1.8387315e+02           497856            66977           392968            37911
   -1.8379051e+02           497872            66939           393022            37911
   -1.8362460e+02           497975            66881           393176            37918
   -1.8354134e+02           497994            66861           393221            37912
   -1.8345808e+02           498070            66869           393285            37916
   -1.8337480e+02           498120            66866           393342            37912
   -1.8327072e+02           498176            66875           393389            37912
   -1.8318811e+02           498194            66850           393434            37910
   -1.8309638e+02           498197            66818           393468            37911
   -1.8293056e+02           498219            66775           393532            37912
   -1.8283229e+02           498223            66750           393569            37904
   -1.8273397e+02           498253            66684           393660            37909
   -1.8265136e+02           498298            66688           393700            37910
   -1.8256876e+02           498330            66669           393754            37907
   -1.8246549e+02           498338            66646           393784            37908
   -1.8237411e+02           498373            66656           393807            37910
   -1.8229151e+02           498431            66674           393850            37907
   -1.8218827e+02           498433            66642           393884            37907
   -1.8209683e+02           498452            66634           393908            37910
   -1.8190965e+02           498473            66600           393965            37908
   -1.8182646e+02           488104            64733           385458            37913
   -1.8174327e+02           488566            65130           385518            37918
   -1.8166006e+02           488881            65093           385876            37912
   -1.8157745e+02           488880            65067           385903            37910
   -1.8149483e+02           488862            65033           385919            37910
   -1.8132838e+02           488840            64976           385952            37912
   -1.8124514e+02           488830            64946           385969            37915
   -1.8116190e+02           488834            64947           385976            37911
   -1.8106415e+02           488830            64925           385992            37913
   -1.8098157e+02           488805            64647           386246            37912
   -1.8089013e+02           488800            64624           386267            37909
   -1.8072436e+02           488808            64589           386305            37914
   -1.8063294e+02           488800            64563           386334            37903
   -1.8053506e+02           488816            64529           386379            37908
   -1.8045247e+02           489170            64504           386760            37906
   -1.8036988e+02           489147            64476           386764            37907
   -1.8027189e+02           489118            64443           386766            37909
   -1.8017382e+02           489094            64405           386776            37913
   -1.8009124e+02           489062            64345           386813            37904
   -1.7998800e+02           489064            64325           386832            37907
   -1.7988995e+02           489016            64271           386837            37908
   -1.7971506e+02           488950            64207           386835            37908
   -1.7963187e+02           481133            63039           380181            37913
   -1.7954868e+02           481124            63020           380188            37916
   -1.7946547e+02           481110            63006           380194            37910
   -1.7938286e+02           481075            62970           380193            37912
   -1.7921702e+02           481046            62904           380228            37914
   -1.7913379e+02           481844            62917           381014            37913
   -1.7905055e+02           481858            62930           381013            37915
   -1.7896730e+02           481827            62908           381009            37910
   -1.7886324e+02           481784            62868           381002            37914
   -1.7878065e+02           481766            62849           381006            37911
   -1.7868261e+02           481710            62805           380996            37909
   -1.7851682e+02           481668            62755           381000            37913
   -1.7842511e+02           481607            62715           380988            37904
   -1.7831378e+02           481559            62635           381015            37909
   -1.7823119e+02           481526            62607           381012            37907
   -1.7814859e+02           481495            62576           381012            37907
   -1.7805036e+02           481457            62546           381005            37906
   -1.7795855e+02           481441            62524           381004            37913
   -1.7787596e+02           481399            62495           380998            37906
   -1.7777813e+02           481350            62453           380989            37908
   -1.7766680e+02           481299            62407           380985            37907
   -1.7758360e+02           481279            62396           380976            37907
   -1.7747961e+02           481248            62369           380970            37909
   -1.7739642e+02           476801            61642           377246            37913
   -1.7723001e+02           476778            61581           377287            37910
   -1.7714739e+02           476770            61554           377305            37911
   -1.7706476e+02           476741            61517           377312            37912
   -1.7698153e+02           476724            61483           377325            37916
   -1.7689829e+02           476672            61448           377313            37911
   -1.7673179e+02           476620            61388           377321            37911
   -1.7662772e+02           476595            61347           377334            37914
   -1.7654513e+02           476597            61310           377373            37914
   -1.7644188e+02           476616            61310           377396            37910
   -1.7635928e+02           476589            61282           377394            37913
   -1.7627608e+02           476624            61261           377450            37913
   -1.7618440e+02           476599            61242           377455            37902
   -1.7608631e+02           476588            61217           377463            37908
   -1.7592110e+02           476563            61184           377472            37907
   -1.7582959e+02           476548            61169           377470            37909
   -1.7573800e+02           476545            61160           377471            37914
   -1.7565540e+02           476562            61102           377554            37906
   -1.7555215e+02           476529            61083           377536            37910
   -1.7546060e+02           476511            61066           377537            37908
   -1.7537740e+02           476502            61049           377547            37906
   -1.7527927e+02           476472            61025           377538            37909
   -1.7519607e+02           474547            60775           375859            37913
   -1.7502963e+02           474507            60756           375838            37913
   -1.7494700e+02           474514            60760           375844            37910
   -1.7486437e+02           474494            60742           375839            37913
   -1.7478112e+02           474484            60683           375887            37914
   -1.7469787e+02           474453            60649           375890            37914
   -1.7453135e+02           474349            60596           375843            37910
   -1.7442727e+02           474290            60564           375813            37913
   -1.7434466e+02           474276            60555           375808            37913
   -1.7425306e+02           474255            60566           375781            37908
   -1.7417045e+02           474225            60564           375751            37910
   -1.7408723e+02           474213            60547           375753            37913
   -1.7398940e+02           474150            60507           375740            37903
   -1.7387805e+02           474129            60450           375770            37909
   -1.7379543e+02           474136            60459           375767            37910
   -1.7360950e+02           474007            60383           375715            37909
   -1.7351156e+02           473959            60357           375688            37914
   -1.7342893e+02           473946            60348           375690            37908
   -1.7333101e+02           473887            60318           375661            37908
   -1.7323301e+02           473850            60322           375620            37908
   -1.7314978e+02           474059            60549           375603            37907
   -1.7304574e+02           474350            60522           375918            37910
   -1.7296251e+02           472477            60086           374478            37913
   -1.7287926e+02           472469            60103           374453            37913
   -1.7279601e+02           472422            60092           374418            37912
   -1.7263068e+02           472303            60038           374353            37912
   -1.7254741e+02           472262            60007           374339            37916
   -1.7246413e+02           472200            59966           374322            37912
   -1.7238084e+02           472150            59930           374302            37918
   -1.7229754e+02           472105            59917           374278            37910
   -1.7219937e+02           472053            59879           374262            37912
   -1.7202492e+02           471946            59814           374222            37910
   -1.7194227e+02           471909            59783           374215            37911
   -1.7185902e+02           471895            59764           374218            37913
   -1.7176724e+02           472009            59760           374346            37903
   -1.7166896e+02           471943            59725           374310            37908
   -1.7158631e+02           471878            59692           374279            37907
   -1.7141224e+02           471732            59627           374198            37907
   -1.7131431e+02           471659            59589           374155            37915
   -1.7123166e+02           471565            59550           374108            37907
   -1.7112835e+02           471423            59540           373974            37909
   -1.7103696e+02           471347            59509           373931            37907
   -1.7095371e+02           471270            59480           373880            37910
   -1.7086223e+02           471174            59431           373832            37911
   -1.7077899e+02           469540            59344           372282            37914
   -1.7069573e+02           469341            59313           372114            37914
   -1.7052980e+02           469192            59257           372025            37910
   -1.7044713e+02           469967            59247           372805            37915
   -1.7036385e+02           469906            59216           372776            37914
   -1.7028057e+02           469842            59200           372729            37913
   -1.7019728e+02           469758            59160           372680            37918
   -1.7002209e+02           469619            59087           372619            37913
   -1.6993946e+02           469555            59061           372581            37913
   -1.6984102e+02           469485            59031           372545            37909
   -1.6975838e+02           469427            58999           372518            37910
   -1.6967514e+02           469354            58960           372478            37916
   -1.6958345e+02           469328            58968           372456            37904
   -1.6949170e+02           469262            58905           372448            37909
   -1.6932643e+02           469111            58844           372360            37907
   -1.6923451e+02           469024            58816           372301            37907
   -1.6912317e+02           468957            58783           372264            37910
   -1.6904054e+02           468954            58751           372294            37909
   -1.6894921e+02           468869            58702           372261            37906
   -1.6883787e+02           468799            58664           372226            37909
   -1.6875465e+02           468770            58634           372227            37909
   -1.6865685e+02           468736            58616           372210            37910
   -1.6857362e+02           467671            58276           371482            37913
   -1.6849039e+02           467645            58269           371461            37915
   -1.6832451e+02           467582            58247           371423            37912
   -1.6824185e+02           467602            58262           371427            37913
   -1.6815860e+02           467582            58276           371391            37915
   -1.6807534e+02           467627            58350           371364            37913
   -1.6799207e+02           467591            58365           371309            37917
   -1.6780469e+02           467428            58303           371210            37915
   -1.6772207e+02           467383            58070           371402            37911
   -1.6761880e+02           467303            58050           371343            37910
   -1.6753618e+02           467279            58061           371308            37910
   -1.6745295e+02           467242            58052           371277            37913
   -1.6736142e+02           467172            58028           371238            37906
   -1.6726981e+02           467105            58013           371184            37908
   -1.6718719e+02           467038            57988           371143            37907
   -1.6701284e+02           466883            57949           371027            37907
   -1.6691460e+02           466434            57929           370593            37912
   -1.6683198e+02           466338            57913           370516            37909
   -1.6672869e+02           466252            57883           370462            37907
   -1.6663064e+02           466163            57842           370411            37910
   -1.6654741e+02           466087            57827           370349            37911
   -1.6644927e+02           466032            57837           370287            37908
   -1.6636604e+02           464964            57578           369473            37913
   -1.6628280e+02           464938            57570           369455            37913
   -1.6619955e+02           464905            57539           369454            37912
   -1.6603423e+02           464754            57485           369359            37910
   -1.6595096e+02           464722            57468           369337            37917
   -1.6586768e+02           464678            57458           369306            37914
   -1.6578440e+02           464599            57432           369251            37916
   -1.6559699e+02           464395            57395           369087            37913
   -1.6541631e+02           464279            57361           369011            37907
   -1.6533366e+02           464263            57373           368980            37910
   -1.6525041e+02           464271            57381           368977            37913
   -1.6515864e+02           464191            57353           368933            37905
   -1.6506682e+02           464130            57337           368884            37909
   -1.6498416e+02           464163            57393           368859            37911
   -1.6480347e+02           464118            57435           368775            37908
   -1.6471183e+02           464103            57418           368775            37910
   -1.6462918e+02           464053            57397           368750            37906
   -1.6453120e+02           464011            57395           368708            37908
   -1.6443961e+02           463939            57382           368649            37908
   -1.6435635e+02           463924            57396           368620            37908
   -1.6425825e+02           463874            57384           368579            37911
   -1.6417499e+02           462669            56897           367859            37913
   -1.6409173e+02           462722            56961           367846            37915
   -1.6392577e+02           462713            57036           367768            37909
   -1.6384307e+02           462691            57049           367730            37912
   -1.6375978e+02           462681            57072           367693            37916
   -1.6367648e+02           462631            57065           367652            37914
   -1.6359317e+02           462654            57124           367613            37917
   -1.6340571e+02           462678            57230           367536            37912
   -1.6332305e+02           462767            57339           367516            37912
   -1.6322487e+02           462775            57363           367503            37909
   -1.6314220e+02           462726            57348           367465            37913
   -1.6305894e+02           462769            57427           367429            37913
   -1.6295485e+02           462835            57554           367375            37906
   -1.6284349e+02           462806            57602           367294            37910
   -1.6276083e+02           462777            57615           367253            37909
   -1.6267816e+02           462723            57610           367207            37906
   -1.6258028e+02           462672            57609           367154            37909
   -1.6246892e+02           462675            57678           367084            37913
   -1.6238626e+02           463061            57628           367524            37909
   -1.6229477e+02           463110            57713           367491            37906
   -1.6211994e+02           463058            57779           367372            37907
   -1.6201588e+02           462895            57791           367194            37910
   -1.6193263e+02           461328            57054           366360            37914
   -1.6184937e+02           461190            57078           366200            37912
   -1.6176611e+02           461168            57107           366148            37913
   -1.6168344e+02           461107            57104           366091            37912
   -1.6151749e+02           461115            57197           366003            37915
   -1.6143420e+02           461093            57224           365956            37913
   -1.6135091e+02           461069            57239           365912            37918
   -1.6126762e+02           461028            57258           365858            37912
   -1.6116947e+02           460980            57274           365791            37915
   -1.6108683e+02           460977            57324           365740            37913
   -1.6099503e+02           461053            57460           365684            37909
   -1.6082916e+02           461007            57480           365615            37912
   -1.6073719e+02           460965            57465           365598            37902
   -1.6062586e+02           460976            57515           365553            37908
   -1.6054323e+02           461049            57616           365526            37907
   -1.6046059e+02           461042            57634           365502            37906
   -1.6036915e+02           461014            57669           365436            37909
   -1.6025782e+02           460967            57674           365381            37912
   -1.6017520e+02           460910            57679           365324            37907
   -1.6008359e+02           461127            57755           365464            37908
   -1.5999192e+02           461136            57811           365420            37905
   -1.5980468e+02           461114            57906           365300            37908
   -1.5972147e+02           459509            57389           364205            37915
   -1.5963825e+02           459000            57461           363623            37916
   -1.5955502e+02           458948            57496           363540            37912
   -1.5947238e+02           458928            57532           363485            37911
   -1.5938973e+02           458861            57519           363431            37911
   -1.5922323e+02           458768            57534           363323            37911
   -1.5913997e+02           458703            57515           363271            37917
   -1.5905670e+02           458728            57604           363213            37911
   -1.5895878e+02           458708            57634           363160            37914
   -1.5887617e+02           458641            57612           363117            37912
   -1.5877291e+02           458553            57578           363064            37911
   -1.5869029e+02           458524            57590           363022            37912
   -1.5850892e+02           458458            57631           362925            37902
   -1.5841069e+02           458380            57625           362844            37911
   -1.5832808e+02           458320            57605           362807            37908
   -1.5824546e+02           458299            57617           362774            37908
   -1.5814218e+02           458321            57680           362734            37907
   -1.5804407e+02           458257            57669           362677            37911
   -1.5796146e+02           458231            57668           362654            37909
   -1.5786350e+02           458215            57700           362606            37909
   -1.5777193e+02           458140            57693           362536            37911
   -1.5768872e+02           458133            57729           362497            37907
   -1.5759702e+02           458118            57754           362452            37912
   -1.5743058e+02           456905            57088           361903            37914
   -1.5734735e+02           456853            57090           361852            37911
   -1.5726471e+02           456793            57074           361806            37913
   -1.5718206e+02           456772            57102           361757            37913
   -1.5709881e+02           456714            57081           361716            37917
   -1.5693228e+02           456590            57049           361625            37916
   -1.5684901e+02           456514            57035           361566            37913
   -1.5675702e+02           456470            57045           361514            37911
   -1.5667440e+02           456441            57046           361482            37913
   -1.5658287e+02           457208            57071           362229            37908
   -1.5641702e+02           457126            57073           362141            37912
   -1.5631890e+02           457054            57090           362061            37903
   -1.5620757e+02           456875            57089           361877            37909
   -1.5612494e+02           456779            57067           361804            37908
   -1.5604231e+02           456692            57051           361734            37907
   -1.5593901e+02           456660            57063           361690            37907
   -1.5584740e+02           456589            57047           361631            37911
   -1.5576477e+02           456534            57065           361563            37906
   -1.5567304e+02           456459            57051           361503            37905
   -1.5557479e+02           456363            57033           361424            37906
   -1.5549156e+02           456297            57031           361358            37908
   -1.5532131e+02           454908            56262           360733            37913
   -1.5523807e+02           454864            56261           360688            37915
   -1.5515483e+02           454799            56251           360636            37912
   -1.5507218e+02           454745            56267           360570            37908
   -1.5498952e+02           454677            56258           360508            37911
   -1.5482299e+02           454515            56237           360366            37912
   -1.5473972e+02           454464            56263           360286            37915
   -1.5465644e+02           454385            56263           360209            37913
   -1.5455846e+02           454325            56286           360125            37914
   -1.5447584e+02           454227            56288           360028            37911
   -1.5437773e+02           454058            56295           359852            37911
   -1.5429511e+02           453460            56295           359253            37912
   -1.5411361e+02           453268            56295           359069            37904
   -1.5401528e+02           453229            56309           359011            37909
   -1.5393265e+02           453157            56309           358940            37908
   -1.5385002e+02           453092            56309           358878            37905
   -1.5374672e+02           453054            56346           358797            37911
   -1.5363645e+02           452989            56346           358732            37911
   -1.5355382e+02           452926            56346           358675            37905
   -1.5345054e+02           452856            56346           358603            37907
   -1.5335878e+02           452771            56346           358515            37910
   -1.5327555e+02           452746            56381           358458            37907
   -1.5317721e+02           452701            56381           358411            37909
   -1.5309398e+02           451697            55618           358167            37912
   -1.5292751e+02           451594            55623           358058            37913
   -1.5284486e+02           451528            55623           357995            37910
   -1.5276220e+02           451471            55624           357935            37912
   -1.5267894e+02           451424            55624           357882            37918
   -1.5259567e+02           451369            55624           357831            37914
   -1.5242911e+02           451243            55624           357707            37912
   -1.5233099e+02           451182            55624           357645            37913
   -1.5224836e+02           451125            55622           357592            37911
   -1.5215012e+02           451059            55623           357527            37909
   -1.5206749e+02           450996            55624           357462            37910
   -1.5198425e+02           450935            55624           357400            37911
   -1.5188585e+02           450854            55624           357327            37903
   -1.5178739e+02           450774            55622           357246            37906
   -1.5162211e+02           450642            55624           357111            37907
   -1.5151880e+02           450437            55623           356905            37909
   -1.5141476e+02           450332            55624           356798            37910
   -1.5133212e+02           450287            55638           356743            37906
   -1.5122881e+02           450208            55638           356662            37908
   -1.5113705e+02           450133            55638           356588            37907
   -1.5105381e+02           450076            55636           356532            37908
   -1.5095547e+02           449979            55638           356432            37909
   -1.5087222e+02           449570            55401           356257            37912
   -1.5078897e+02           449493            55402           356178            37913
   -1.5062304e+02           449349            55401           356038            37910
   -1.5054037e+02           449280            55402           355966            37912
   -1.5045709e+02           449210            55402           355890            37918
   -1.5037380e+02           449131            55423           355794            37914
   -1.5029051e+02           449068            55444           355708            37916
   -1.5010913e+02           448848            55444           355491            37913
   -1.5002647e+02           448696            55444           355341            37911
   -1.4992827e+02           448038            55444           354685            37909
   -1.4984562e+02           447942            55450           354582            37910
   -1.4976236e+02           447871            55450           354510            37911
   -1.4966399e+02           447776            55448           354425            37903
   -1.4956583e+02           447694            55450           354338            37906
   -1.4948317e+02           447656            55478           354270            37908
   -1.4930313e+02           447521            55478           354134            37909
   -1.4920611e+02           447432            55477           354045            37910
   -1.4912346e+02           447344            55478           353960            37906
   -1.4902698e+02           447304            55518           353878            37908
   -1.4893526e+02           447256            55536           353813            37907
   -1.4885201e+02           447179            55538           353733            37908
   -1.4875639e+02           447109            55537           353663            37909
   -1.4867314e+02           447015            55517           353586            37912
   -1.4858988e+02           446948            55516           353519            37913
