# CONVERGE 4.0.3/  Aug  6 2024       Run Date:Wed Jun  4 14:16:41 2025
# column        1                2                3                4                5
#           Crank      Total_Cells          Region1          Region0          Region2
#           (DEG)           (none)           (none)           (none)           (none)
#
   -3.6424085e+02           122379            45647            38620            38112
   -3.6416622e+02           122398            45642            38652            38104
   -3.6409198e+02           122377            45649            38633            38095
   -3.6394421e+02           122331            45644            38603            38084
   -3.6387054e+02           122857            45647            39133            38077
   -3.6379697e+02           122830            45646            39113            38071
   -3.6369551e+02           122896            46300            38513            38083
   -3.6357776e+02           122881            46314            38483            38084
   -3.6347925e+02           122872            46339            38457            38076
   -3.6333790e+02           122842            46352            38431            38059
   -3.6326440e+02           122833            46367            38413            38053
   -3.6319463e+02           122809            46367            38401            38041
   -3.6304857e+02           122796            46381            38382            38033
   -3.6297502e+02           122781            46390            38366            38025
   -3.6282742e+02           122614            46401            38212            38001
   -3.6275303e+02           122611            46409            38207            37995
   -3.6267775e+02           122607            46425            38194            37988
   -3.6253337e+02           122575            46440            38175            37960
   -3.6245396e+02           122584            46459            38169            37956
   -3.6237962e+02           122575            46466            38162            37947
   -3.6222418e+02           122592            46512            38142            37938
   -3.6214639e+02           122629            46558            38117            37954
   -3.6208615e+02           122648            46582            38113            37953
   -3.6194592e+02           122660            46612            38097            37951
   -3.6186664e+02           122690            46644            38090            37956
   -3.6178638e+02           122692            46655            38085            37952
   -3.6161464e+02           122721            46695            38074            37952
   -3.6152084e+02           122709            46695            38063            37951
   -3.6142480e+02           122700            46695            38054            37951
   -3.6132830e+02           122689            46695            38038            37956
   -3.6123128e+02           122740            46750            38034            37956
   -3.6114811e+02           122734            46750            38028            37956
   -3.6107092e+02           122726            46750            38021            37955
   -3.6098972e+02           122715            46750            38010            37955
   -3.6080932e+02           122077            46749            37377            37951
   -3.6070975e+02           122086            46749            37386            37951
   -3.6060073e+02           122081            46749            37381            37951
   -3.6048344e+02           122078            46749            37378            37951
   -3.6035872e+02           122075            46749            37370            37956
   -3.6022948e+02           122069            46749            37364            37956
   -3.6009507e+02           122062            46749            37359            37954
   -3.5995481e+02           122064            46749            37361            37954
   -3.5980760e+02           122065            46749            37362            37954
   -3.5965219e+02           122074            46749            37371            37954
   -3.5948672e+02           122078            46749            37375            37954
   -3.5932092e+02           122085            46749            37382            37954
   -3.5915493e+02           122094            46749            37391            37954
   -3.5898874e+02           122104            46749            37401            37954
   -3.5882231e+02           122118            46749            37413            37956
   -3.5865561e+02           122131            46749            37428            37954
   -3.5848859e+02           122146            46749            37443            37954
   -3.5832119e+02           122163            46749            37460            37954
   -3.5815331e+02           122175            46749            37472            37954
   -3.5798477e+02           122198            46749            37495            37954
   -3.5781533e+02           122214            46749            37511            37954
   -3.5764485e+02           122242            46749            37539            37954
   -3.5747396e+02           122259            46749            37556            37954
   -3.5730261e+02           122289            46749            37586            37954
   -3.5713131e+02           121072            46697            36416            37959
   -3.5696023e+02           121109            46700            36454            37955
   -3.5678945e+02           121138            46700            36485            37953
   -3.5661903e+02           121176            46700            36523            37953
   -3.5646124e+02           121232            46700            36579            37953
   -3.5631491e+02           121279            46700            36626            37953
   -3.5617709e+02           121272            46702            36684            37886
   -3.5609763e+02           121366            46700            36755            37911
   -3.5596936e+02           121405            46702            36793            37910
   -3.5583200e+02           121470            46718            36838            37914
   -3.5576003e+02           121521            46730            36881            37910
   -3.5568775e+02           121570            46754            36901            37915
   -3.5554231e+02           121668            46777            36977            37914
   -3.5546915e+02           121740            46801            37026            37913
   -3.5539573e+02           121789            46807            37072            37910
   -3.5524811e+02           121893            46834            37147            37912
   -3.5517393e+02           121987            46846            37232            37909
   -3.5509952e+02           121644            46847            36880            37917
   -3.5495079e+02           121888            46873            37104            37911
   -3.5486834e+02           121974            46890            37172            37912
   -3.5479483e+02           122045            46911            37220            37914
   -3.5463283e+02           122194            46954            37333            37907
   -3.5454415e+02           122278            46982            37391            37905
   -3.5447048e+02           122349            47004            37436            37909
   -3.5439601e+02           122431            47034            37486            37911
   -3.5422787e+02           122944            47109            37923            37912
   -3.5415306e+02           123178            47126            38141            37911
   -3.5405956e+02           123495            47151            38437            37907
   -3.5398446e+02           123655            47159            38589            37907
   -3.5389060e+02           123225            47199            38120            37906
   -3.5378172e+02           123527            47219            38401            37907
   -3.5367274e+02           123831            47240            38683            37908
   -3.5356367e+02           124092            47279            38906            37907
   -3.5345452e+02           124255            47317            39033            37905
   -3.5334528e+02           124515            47380            39222            37913
   -3.5323595e+02           124678            47415            39359            37904
   -3.5313165e+02           124990            47443            39637            37910
   -3.5302440e+02           125171            47480            39779            37912
   -3.5294776e+02           125276            47493            39868            37915
   -3.5287093e+02           125253            47502            39837            37914
   -3.5279390e+02           125369            47535            39916            37918
   -3.5263105e+02           125586            47592            40078            37916
   -3.5255392e+02           125724            47608            40204            37912
   -3.5246131e+02           125866            47628            40324            37914
   -3.5238453e+02           125984            47636            40433            37915
   -3.5222936e+02           126217            47717            40593            37907
   -3.5215151e+02           126361            47747            40703            37911
   -3.5207350e+02           126481            47758            40814            37909
   -3.5199534e+02           126651            47801            40936            37914
   -3.5183856e+02           126975            47850            41216            37909
   -3.5174049e+02           127258            47876            41473            37909
   -3.5165317e+02           127415            47902            41605            37908
   -3.5156566e+02           127687            47923            41856            37908
   -3.5147796e+02           127821            47942            41973            37906
   -3.5139009e+02           128030            47956            42166            37908
   -3.5121716e+02           128520            47989            42621            37910
   -3.5113430e+02           128670            48014            42749            37907
   -3.5104578e+02           128971            48042            43019            37910
   -3.5095712e+02           129208            48080            43214            37914
   -3.5087833e+02           129314            48105            43295            37914
   -3.5079997e+02           129348            48104            43327            37917
   -3.5064290e+02           129722            48125            43681            37916
   -3.5056363e+02           129923            48141            43871            37911
   -3.5048484e+02           130242            48166            44164            37912
   -3.5030735e+02           130427            48261            44258            37908
   -3.5021975e+02           130731            48288            44528            37915
   -3.5013196e+02           130892            48344            44641            37907
   -3.5005258e+02           131221            48376            44935            37910
   -3.4997307e+02           131365            48410            45043            37912
   -3.4989345e+02           131507            48441            45155            37911
   -3.4973390e+02           131819            48481            45429            37909
   -3.4965397e+02           132069            48501            45660            37908
   -3.4957457e+02           132239            48525            45805            37909
   -3.4949452e+02           132535            48544            46080            37911
   -3.4933415e+02           133165            48608            46647            37910
   -3.4925385e+02           133462            48622            46932            37908
   -3.4917347e+02           134214            48653            47647            37914
   -3.4909302e+02           134499            48675            47909            37915
   -3.4893191e+02           135159            48744            48505            37910
   -3.4884314e+02           135468            48796            48763            37909
   -3.4876311e+02           135733            48829            48987            37917
   -3.4868356e+02           135976            48847            49216            37913
   -3.4858916e+02           136373            48871            49591            37911
   -3.4849505e+02           136789            48887            49993            37909
   -3.4832188e+02           137641            48999            50730            37912
   -3.4824221e+02           137910            49023            50973            37914
   -3.4816188e+02           138232            49058            51263            37911
   -3.4806898e+02           138757            49151            51694            37912
   -3.4798863e+02           139078            49187            51985            37906
   -3.4782401e+02           139840            49398            52534            37908
   -3.4774176e+02           140149            49420            52818            37911
   -3.4766488e+02           140573            49483            53180            37910
   -3.4758439e+02           140967            49519            53533            37915
   -3.4742376e+02           142039            49575            54549            37915
   -3.4734305e+02           142573            49608            55048            37917
   -3.4726228e+02           143009            49678            55418            37913
   -3.4718145e+02           143688            49726            56046            37916
   -3.4703583e+02           144633            49767            56952            37914
   -3.4695513e+02           144986            49823            57246            37917
   -3.4687494e+02           145409            49847            57645            37917
   -3.4672177e+02           146405            49966            58532            37907
   -3.4664693e+02           146838            50015            58911            37912
   -3.4656250e+02           147388            50054            59418            37916
   -3.4648165e+02           147849            50094            59843            37912
   -3.4632035e+02           148625            50188            60525            37912
   -3.4623677e+02           149227            50242            61074            37911
   -3.4616315e+02           149772            50333            61526            37913
   -3.4604552e+02           150500            50436            62150            37914
   -3.4597418e+02           150887            50473            62495            37919
   -3.4585539e+02           151625            50525            63191            37909
   -3.4578014e+02           152107            50561            63638            37908
   -3.4569556e+02           152409            50606            63892            37911
   -3.4554471e+02           153367            50687            64771            37909
   -3.4546800e+02           153880            50743            65224            37913
   -3.4539934e+02           154256            50766            65573            37917
   -3.4526156e+02           155104            50904            66288            37912
   -3.4513676e+02           155923            51000            67015            37908
   -3.4507661e+02           156248            51030            67309            37909
   -3.4494098e+02           156870            51022            67934            37914
   -3.4487612e+02           157444            51055            68477            37912
   -3.4475957e+02           158266            51101            69256            37909
   -3.4463256e+02           159273            51156            70206            37911
   -3.4457888e+02           159645            51169            70567            37909
   -3.4446185e+02           160189            51238            71043            37908
   -3.4439311e+02           160648            51265            71472            37911
   -3.4427087e+02           161356            51370            72078            37908
   -3.4414746e+02           162754            51515            73332            37907
   -3.4407697e+02           163235            51564            73763            37908
   -3.4392208e+02           164363            51740            74714            37909
   -3.4386951e+02           164827            51832            75083            37912
   -3.4372269e+02           166000            52070            76018            37912
   -3.4364679e+02           166503            52136            76462            37905
   -3.4356588e+02           167125            52202            77014            37909
   -3.4348879e+02           167193            52238            77047            37908
   -3.4332593e+02           168341            52448            77986            37907
   -3.4324415e+02           168605            52473            78216            37916
   -3.4316232e+02           169137            52507            78718            37912
   -3.4308046e+02           169753            52549            79297            37907
   -3.4293310e+02           170805            52623            80275            37907
   -3.4286760e+02           171188            52666            80612            37910
   -3.4278639e+02           171870            52732            81226            37912
   -3.4264014e+02           173098            52844            82346            37908
   -3.4255889e+02           173682            52976            82801            37905
   -3.4247696e+02           174420            53102            83411            37907
   -3.4232947e+02           175710            53330            84472            37908
   -3.4224744e+02           176386            53410            85068            37908
   -3.4218182e+02           176735            53488            85339            37908
   -3.4209979e+02           177304            53611            85782            37911
   -3.4195200e+02           178814            54098            86808            37908
   -3.4186990e+02           179712            54391            87409            37912
   -3.4172292e+02           181546            55250            88384            37912
   -3.4164194e+02           182251            55466            88877            37908
   -3.4157715e+02           182987            55677            89400            37910
   -3.4149616e+02           183784            55863            90016            37905
   -3.4135039e+02           184624            56224            90484            37916
   -3.4128560e+02           185307            56329            91065            37913
   -3.4113983e+02           186909            56560            92438            37911
   -3.4105912e+02           187734            56707            93119            37908
   -3.4097734e+02           188725            56925            93888            37912
   -3.4083014e+02           190090            57272            94914            37904
   -3.4076472e+02           190690            57377            95405            37908
   -3.4068299e+02           191531            57571            96054            37906
   -3.4053670e+02           193243            58032            97303            37908
   -3.4047198e+02           194083            58275            97894            37914
   -3.4035548e+02           196001            58476            99616            37909
   -3.4023898e+02           197500            58807           100784            37909
   -3.4018720e+02           197956            58970           101070            37916
