# CONVERGE 4.0.3/  Aug  6 2024       Run Date:Wed Jun  4 14:16:41 2025
# column        1                2                3                4                5
#           Crank       Source_8_0       Source_8_0       Source_9_1       Source_9_1
#           (DEG)    Integrated_HR          HR_Rate    Integrated_HR          HR_Rate
#          (none)              (J)          (J/DEG)              (J)          (J/DEG)
   -3.7128805e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7114321e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7106775e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7099332e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7084232e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7076634e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7068879e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7054081e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7047031e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7039937e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7025512e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7018208e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7003582e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6996265e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6988273e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6972126e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6963994e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6955827e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6947773e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6939719e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6923110e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6914643e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6906250e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6897735e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6888997e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6879825e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6861551e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6852393e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6843262e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6833979e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6824679e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6814827e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6805623e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6795945e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6786404e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6776999e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6767621e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6757883e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6748207e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6738705e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6728800e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6719078e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6709293e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6699630e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6681029e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6671848e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6662738e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6653666e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6644714e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6635879e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6627170e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6618466e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6609785e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6594219e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6586976e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6578522e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6561991e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6553567e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6545935e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6537598e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6525184e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6516951e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6508844e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6492945e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6485109e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6477332e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6469605e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6454267e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6446663e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6439109e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6424085e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6416622e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6409198e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6394421e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6387054e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6379697e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
