# CONVERGE 4.0.3/  Aug  6 2024       Run Date:Wed Jun  4 14:16:41 2025
# column        1                2                3                4                5                6                7                8                9               10               11
#           Crank      Lambda_Mean    Lambda_StdDev         Phi_Mean       Phi_StdDev    Rct_Lmda_Mean  Rct_Lmda_StdDev     Rct_Phi_Mean   Rct_Phi_StdDev         NOT_USED         NOT_USED
#           (DEG)           (none)           (none)           (none)           (none)           (none)           (none)           (none)           (none)           (none)           (none)
#
   -3.7490193e+02    1.3226854e+00    4.4216085e-01    7.5603770e-01    1.9311199e-01    1.4244480e+00    6.0233283e+19    7.0202635e-01    4.5187924e-01   -1.0000000e+00   -1.0000000e+00
   -3.7479720e+02    1.3224976e+00    4.4208243e-01    7.5614505e-01    1.9308131e-01    1.4240834e+00    6.0211085e+19    7.0220607e-01    4.5179587e-01   -1.0000000e+00   -1.0000000e+00
   -3.7469673e+02    1.3223094e+00    4.4200366e-01    7.5625268e-01    1.9305049e-01    1.4237181e+00    6.0188818e+19    7.0238622e-01    4.5171212e-01   -1.0000000e+00   -1.0000000e+00
   -3.7450442e+02    1.3219290e+00    4.4184396e-01    7.5647026e-01    1.9298799e-01    1.4229808e+00    6.0143784e+19    7.0275020e-01    4.5154237e-01   -1.0000000e+00   -1.0000000e+00
   -3.7440179e+02    1.3217162e+00    4.4175429e-01    7.5659207e-01    1.9295289e-01    1.4225685e+00    6.0118558e+19    7.0295385e-01    4.5144706e-01   -1.0000000e+00   -1.0000000e+00
   -3.7430653e+02    1.3215137e+00    4.4166876e-01    7.5670801e-01    1.9291939e-01    1.4221765e+00    6.0094538e+19    7.0314762e-01    4.5135617e-01   -1.0000000e+00   -1.0000000e+00
   -3.7421619e+02    1.3213178e+00    4.4158581e-01    7.5682022e-01    1.9288691e-01    1.4217974e+00    6.0071280e+19    7.0333510e-01    4.5126802e-01   -1.0000000e+00   -1.0000000e+00
   -3.7411819e+02    1.3211013e+00    4.4149395e-01    7.5694422e-01    1.9285092e-01    1.4213788e+00    6.0045568e+19    7.0354220e-01    4.5117042e-01   -1.0000000e+00   -1.0000000e+00
   -3.7402543e+02    1.3208936e+00    4.4140557e-01    7.5706327e-01    1.9281630e-01    1.4209774e+00    6.0020872e+19    7.0374097e-01    4.5107652e-01   -1.0000000e+00   -1.0000000e+00
   -3.7393180e+02    1.3206816e+00    4.4131518e-01    7.5718478e-01    1.9278087e-01    1.4205680e+00    5.9995655e+19    7.0394376e-01    4.5098049e-01   -1.0000000e+00   -1.0000000e+00
   -3.7384477e+02    1.3204831e+00    4.4123035e-01    7.5729858e-01    1.9274762e-01    1.4201850e+00    5.9972029e+19    7.0413362e-01    4.5089038e-01   -1.0000000e+00   -1.0000000e+00
   -3.7375502e+02    1.3202774e+00    4.4114223e-01    7.5741656e-01    1.9271307e-01    1.4197883e+00    5.9947526e+19    7.0433038e-01    4.5079678e-01   -1.0000000e+00   -1.0000000e+00
   -3.7366898e+02    1.3200799e+00    4.4105738e-01    7.5752992e-01    1.9267979e-01    1.4194074e+00    5.9923972e+19    7.0451938e-01    4.5070667e-01   -1.0000000e+00   -1.0000000e+00
   -3.7358589e+02    1.3198891e+00    4.4097529e-01    7.5763939e-01    1.9264760e-01    1.4190399e+00    5.9901219e+19    7.0470181e-01    4.5061949e-01   -1.0000000e+00   -1.0000000e+00
   -3.7342594e+02    1.3195236e+00    4.4081745e-01    7.5784927e-01    1.9258567e-01    1.4183362e+00    5.9857569e+19    7.0505143e-01    4.5045189e-01   -1.0000000e+00   -1.0000000e+00
   -3.7335094e+02    1.3193535e+00    4.4074378e-01    7.5794697e-01    1.9255676e-01    1.4180091e+00    5.9837239e+19    7.0521411e-01    4.5037367e-01   -1.0000000e+00   -1.0000000e+00
   -3.7327736e+02    1.3191878e+00    4.4067189e-01    7.5804216e-01    1.9252854e-01    1.4176905e+00    5.9817424e+19    7.0537256e-01    4.5029734e-01   -1.0000000e+00   -1.0000000e+00
   -3.7313360e+02    1.3188685e+00    4.4053290e-01    7.5822573e-01    1.9247398e-01    1.4170769e+00    5.9779195e+19    7.0567800e-01    4.5014981e-01   -1.0000000e+00   -1.0000000e+00
   -3.7306374e+02    1.3187157e+00    4.4046625e-01    7.5831356e-01    1.9244780e-01    1.4167837e+00    5.9760896e+19    7.0582407e-01    4.5007906e-01   -1.0000000e+00   -1.0000000e+00
   -3.7298841e+02    1.3185532e+00    4.4039522e-01    7.5840702e-01    1.9241990e-01    1.4164718e+00    5.9741418e+19    7.0597946e-01    4.5000367e-01   -1.0000000e+00   -1.0000000e+00
   -3.7284124e+02    1.3182426e+00    4.4025910e-01    7.5858568e-01    1.9236643e-01    1.4158763e+00    5.9704162e+19    7.0627640e-01    4.4985921e-01   -1.0000000e+00   -1.0000000e+00
   -3.7276881e+02    1.3180935e+00    4.4019355e-01    7.5867153e-01    1.9234067e-01    1.4155904e+00    5.9686253e+19    7.0641903e-01    4.4978965e-01   -1.0000000e+00   -1.0000000e+00
   -3.7269690e+02    1.3179480e+00    4.4012950e-01    7.5875529e-01    1.9231550e-01    1.4153117e+00    5.9668775e+19    7.0655814e-01    4.4972168e-01   -1.0000000e+00   -1.0000000e+00
   -3.7255758e+02    1.3176738e+00    4.4000850e-01    7.5891319e-01    1.9226794e-01    1.4147868e+00    5.9635811e+19    7.0682030e-01    4.4959331e-01   -1.0000000e+00   -1.0000000e+00
   -3.7248865e+02    1.3175420e+00    4.3995025e-01    7.5898906e-01    1.9224503e-01    1.4145347e+00    5.9619965e+19    7.0694623e-01    4.4953150e-01   -1.0000000e+00   -1.0000000e+00
