# CONVERGE 4.0.3/  Aug  6 2024       Run Date:Wed Jun  4 14:16:41 2025
# column        1                2                3                4                5
#           Crank         CHEM_SRC    CHEM_SRC_Mean  CHEM_SRC_StdDev       Total_Mass
#           (DEG)     (J/s/m^3*kg) (J/s/m^3*kg/m^3) (J/s/m^3*kg/m^3)             (kg)
#
   -3.7800000e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.6769624e-05
   -3.7789566e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.6766120e-05
   -3.7779164e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.6761109e-05
   -3.7767173e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.6752476e-05
   -3.7758847e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.6743941e-05
   -3.7748438e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.6732296e-05
   -3.7737043e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.6717309e-05
   -3.7725729e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.6700312e-05
   -3.7713518e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.6679529e-05
   -3.7700976e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.6655816e-05
   -3.7689565e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.6632325e-05
   -3.7679129e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.6609380e-05
   -3.7667790e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.6582795e-05
   -3.7656508e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.6554901e-05
   -3.7645116e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.6524174e-05
   -3.7633867e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.6493984e-05
   -3.7622478e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.6462455e-05
   -3.7611091e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.6430143e-05
   -3.7599912e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.6397813e-05
   -3.7588773e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.6365104e-05
   -3.7577390e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.6331286e-05
   -3.7566008e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.6297203e-05
   -3.7554903e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.6263821e-05
   -3.7543833e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.6230488e-05
   -3.7532455e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.6204408e-05
   -3.7521357e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.6170659e-05
   -3.7510701e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.6138313e-05
   -3.7500170e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.6106293e-05
   -3.7490193e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.6075940e-05
   -3.7479720e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.6043799e-05
   -3.7469673e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.6013012e-05
   -3.7450442e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.5953475e-05
   -3.7440179e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.5921247e-05
   -3.7430653e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.5890080e-05
   -3.7421619e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.5861167e-05
   -3.7411819e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.5829364e-05
   -3.7402543e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.5799092e-05
   -3.7393180e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.5768057e-05
   -3.7384477e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.5739057e-05
   -3.7375502e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.5708767e-05
   -3.7366898e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.5679485e-05
   -3.7358589e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.5651025e-05
   -3.7342594e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.5594381e-05
   -3.7335094e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.5568158e-05
   -3.7327736e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.5542268e-05
   -3.7313360e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.5491428e-05
   -3.7306374e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.5466614e-05
   -3.7298841e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.5439813e-05
   -3.7284124e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.5387046e-05
   -3.7276881e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.5361000e-05
   -3.7269690e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.5333873e-05
   -3.7255758e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.5283873e-05
   -3.7248865e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.5259207e-05
   -3.7235306e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.5210751e-05
